Regulator,Target,Sign,Model,Confidence Rank,Constraint,Direct,Notes
STAT1,TBET_2,positive,N10,1,regulates,direct,"Duplicated from original edge (STAT1 -> TBET, Model=N10). Original note: STAT1 activates the transcription of  TBX21 (TBET)."
STAT1_2,TBET,positive,N10,1,regulates,direct,"Duplicated from original edge (STAT1 -> TBET, Model=N10). Original note: STAT1 activates the transcription of  TBX21 (TBET)."
STAT1_2,TBET_2,positive,N10,1,regulates,direct,"Duplicated from original edge (STAT1 -> TBET, Model=N10). Original note: STAT1 activates the transcription of  TBX21 (TBET)."
STAT1,TBET_2,positive,P18,1,regulates,direct,"Duplicated from original edge (STAT1 -> TBET, Model=P18). Original note: STAT1 activates the transcription of  TBX21 (TBET)."
STAT1_2,TBET,positive,P18,1,regulates,direct,"Duplicated from original edge (STAT1 -> TBET, Model=P18). Original note: STAT1 activates the transcription of  TBX21 (TBET)."
STAT1_2,TBET_2,positive,P18,1,regulates,direct,"Duplicated from original edge (STAT1 -> TBET, Model=P18). Original note: STAT1 activates the transcription of  TBX21 (TBET)."
STAT3,IFNG_2,negative,MSM,2,,indirect,"Duplicated from original edge (STAT3 -> IFNG, Model=MSM). Original note: causal effect, STAT3->BCL6-|TBET->IFNG"
STAT3,IFNG_2,negative,MX,2,,indirect,"Duplicated from original edge (STAT3 -> IFNG, Model=MX). Original note: causal effect, STAT3->BCL6-|TBET->IFNG"
STAT3,IFNG_2,negative,N10,2,,indirect,"Duplicated from original edge (STAT3 -> IFNG, Model=N10). Original note: causal effect, STAT3->BCL6-|TBET->IFNG"
STAT3,IFNG_2,negative,P18,2,,indirect,"Duplicated from original edge (STAT3 -> IFNG, Model=P18). Original note: causal effect, STAT3->BCL6-|TBET->IFNG"
STAT4,IFNG_2,positive,AJ,1,regulates,direct,"Duplicated from original edge (STAT4 -> IFNG, Model=AJ). Original note: regulation of transcription. Canonical target; STAT4 binds the Ifng locus."
STAT4,IFNG_2,positive,MSM,1,regulates,direct,"Duplicated from original edge (STAT4 -> IFNG, Model=MSM). Original note: regulation of transcription. Canonical target; STAT4 binds the Ifng locus."
STAT4,IFNG_2,positive,MX,1,regulates,direct,"Duplicated from original edge (STAT4 -> IFNG, Model=MX). Original note: regulation of transcription. Canonical target; STAT4 binds the Ifng locus."
STAT4,IFNG_2,positive,N10,1,regulates,direct,"Duplicated from original edge (STAT4 -> IFNG, Model=N10). Original note: regulation of transcription. Canonical target; STAT4 binds the Ifng locus."
STAT4,IFNG_2,positive,P18,1,regulates,direct,"Duplicated from original edge (STAT4 -> IFNG, Model=P18). Original note: regulation of transcription. Canonical target; STAT4 binds the Ifng locus."
STAT4,TBET_2,positive,P18,1,regulates,direct,"Duplicated from original edge (STAT4 -> TBET, Model=P18). Original note: STAT4 binds the Tbx21 promoter and promotes TBET expression."
STAT5_2,FOXP3,positive,P18,1,regulates,direct,"Duplicated from original edge (STAT5 -> FOXP3, Model=P18). Original note: Activated STAT5 directly binds regulatory elements of the Foxp3 locus and promotes Foxp3 expression and stability."
STAT5_2,GATA3,positive,P18,1,regulates,direct,"Duplicated from original edge (STAT5 -> GATA3, Model=P18). Original note: STAT5 binds regulatory DNA at the Gata3 locus and activates transcription."
STAT5_2,IL17,negative,P18,1,regulates,direct,"Duplicated from original edge (STAT5 -> IL17, Model=P18). Original note: Activated STAT5 directly binds regulatory sites across the Il17a–Il17f locus and represses IL-17 transcription."
STAT5_2,RUNX3,positive,MSM,1,regulates,direct,"Duplicated from original edge (STAT5 -> RUNX3, Model=MSM). Original note: regulation of transcription. STAT5 binds regulatory elements of the Runx3 locus. Constitutively active STAT5 induces Runx3 expression. Loss of IL-7/STAT5 signaling reduces Runx3 expression."
STAT6,IFNG_2,negative,P18,2,,indirect,"Duplicated from original edge (STAT6 -> IFNG, Model=P18). Original note: causal effect mediated by GATA3 and TBET"
TBET_2,BCL6,negative,AJ,1,regulates,direct,"Duplicated from original edge (TBET -> BCL6, Model=AJ). Original note: protein-protein interaction. T-bet binds BCL6 directly and recruits it to TBET-bound promoters. The interaction prevents BCL6 from acting at its own canonical DNA-binding sites, effectively antagonizing part of BCL6's normal transcriptional program."
TBET_2,BCL6,negative,MS15,1,regulates,direct,"Duplicated from original edge (TBET -> BCL6, Model=MS15). Original note: protein-protein interaction. T-bet binds BCL6 directly and recruits it to TBET-bound promoters. The interaction prevents BCL6 from acting at its own canonical DNA-binding sites, effectively antagonizing part of BCL6's normal transcriptional program."
TBET_2,EOMES,positive,MSM,-,,wrong,"Duplicated from original edge (TBET -> EOMES, Model=MSM). Original note: assumption, contradicted by evidence that TBET and EOMES have opposing expression patterns"
TBET_2,FOXP3,negative,MSM,1,regulates,direct,"Duplicated from original edge (TBET -> FOXP3, Model=MSM). Original note: regulation of transcription. T-bet binds a conserved regulatory region of the Foxp3 locus and reduces Foxp3 expression."
TBET_2,GATA3,negative,AJ,1,regulates,direct,"Duplicated from original edge (TBET -> GATA3, Model=AJ). Original note: Indicated as ""binding and functional data"". T-bet directly inhibits GATA3 through protein–protein interaction and can also directly repress Gata3 transcription."
TBET_2,GATA3,negative,MS15,1,regulates,direct,"Duplicated from original edge (TBET -> GATA3, Model=MS15). Original note: T-bet directly inhibits GATA3 through protein–protein interaction and can also directly repress Gata3 transcription."
TBET_2,GATA3,negative,MSM,1,regulates,direct,"Duplicated from original edge (TBET -> GATA3, Model=MSM). Original note: T-bet directly inhibits GATA3 through protein–protein interaction and can also directly repress Gata3 transcription."
TBET_2,GATA3,negative,MX,1,regulates,direct,"Duplicated from original edge (TBET -> GATA3, Model=MX). Original note: T-bet directly inhibits GATA3 through protein–protein interaction and can also directly repress Gata3 transcription."
TBET_2,GATA3,negative,N10,1,regulates,direct,"Duplicated from original edge (TBET -> GATA3, Model=N10). Original note: T-bet directly inhibits GATA3 through protein–protein interaction and can also directly repress Gata3 transcription."
TBET_2,GATA3,negative,P18,1,regulates,direct,"Duplicated from original edge (TBET -> GATA3, Model=P18). Original note: T-bet directly inhibits GATA3 through protein–protein interaction and can also directly repress Gata3 transcription."
TBET,IFNG_2,positive,AJ,1,regulates,direct,"Duplicated from original edge (TBET -> IFNG, Model=AJ). Original note: indicated as ""binding and functional data."" T-bet directly binds regulatory elements of the Ifng locus and activates transcription."
TBET_2,IFNG,positive,AJ,1,regulates,direct,"Duplicated from original edge (TBET -> IFNG, Model=AJ). Original note: indicated as ""binding and functional data."" T-bet directly binds regulatory elements of the Ifng locus and activates transcription."
TBET_2,IFNG_2,positive,AJ,1,regulates,direct,"Duplicated from original edge (TBET -> IFNG, Model=AJ). Original note: indicated as ""binding and functional data."" T-bet directly binds regulatory elements of the Ifng locus and activates transcription."
TBET,IFNG_2,positive,MS15,1,regulates,direct,"Duplicated from original edge (TBET -> IFNG, Model=MS15). Original note: T-bet directly binds regulatory elements of the Ifng locus and activates transcription."
TBET_2,IFNG,positive,MS15,1,regulates,direct,"Duplicated from original edge (TBET -> IFNG, Model=MS15). Original note: T-bet directly binds regulatory elements of the Ifng locus and activates transcription."
TBET_2,IFNG_2,positive,MS15,1,regulates,direct,"Duplicated from original edge (TBET -> IFNG, Model=MS15). Original note: T-bet directly binds regulatory elements of the Ifng locus and activates transcription."
TBET,IFNG_2,positive,MSM,1,regulates,direct,"Duplicated from original edge (TBET -> IFNG, Model=MSM). Original note: T-bet directly binds regulatory elements of the Ifng locus and activates transcription."
TBET_2,IFNG,positive,MSM,1,regulates,direct,"Duplicated from original edge (TBET -> IFNG, Model=MSM). Original note: T-bet directly binds regulatory elements of the Ifng locus and activates transcription."
TBET_2,IFNG_2,positive,MSM,1,regulates,direct,"Duplicated from original edge (TBET -> IFNG, Model=MSM). Original note: T-bet directly binds regulatory elements of the Ifng locus and activates transcription."
TBET,IFNG_2,positive,MX,1,regulates,direct,"Duplicated from original edge (TBET -> IFNG, Model=MX). Original note: T-bet directly binds regulatory elements of the Ifng locus and activates transcription."
TBET_2,IFNG,positive,MX,1,regulates,direct,"Duplicated from original edge (TBET -> IFNG, Model=MX). Original note: T-bet directly binds regulatory elements of the Ifng locus and activates transcription."
TBET_2,IFNG_2,positive,MX,1,regulates,direct,"Duplicated from original edge (TBET -> IFNG, Model=MX). Original note: T-bet directly binds regulatory elements of the Ifng locus and activates transcription."
TBET,IFNG_2,positive,N10,1,regulates,direct,"Duplicated from original edge (TBET -> IFNG, Model=N10). Original note: T-bet directly binds regulatory elements of the Ifng locus and activates transcription."
TBET_2,IFNG,positive,N10,1,regulates,direct,"Duplicated from original edge (TBET -> IFNG, Model=N10). Original note: T-bet directly binds regulatory elements of the Ifng locus and activates transcription."
TBET_2,IFNG_2,positive,N10,1,regulates,direct,"Duplicated from original edge (TBET -> IFNG, Model=N10). Original note: T-bet directly binds regulatory elements of the Ifng locus and activates transcription."
TBET,IFNG_2,positive,P18,1,regulates,direct,"Duplicated from original edge (TBET -> IFNG, Model=P18). Original note: T-bet directly binds regulatory elements of the Ifng locus and activates transcription."
TBET_2,IFNG,positive,P18,1,regulates,direct,"Duplicated from original edge (TBET -> IFNG, Model=P18). Original note: T-bet directly binds regulatory elements of the Ifng locus and activates transcription."
TBET_2,IFNG_2,positive,P18,1,regulates,direct,"Duplicated from original edge (TBET -> IFNG, Model=P18). Original note: T-bet directly binds regulatory elements of the Ifng locus and activates transcription."
TBET_2,IL12R,positive,P18,2,,indirect,"Duplicated from original edge (TBET -> IL12R, Model=P18). Original note: TBET regulates the transcription of IL12RB2, which is a subunit of IL12R. "
TBET_2,IL2,negative,AJ,1,regulates,direct,"Duplicated from original edge (TBET -> IL2, Model=AJ). Original note: indicated as ""binding and functional data"". T-bet physically interacts with RelA/p65 at the Il2 promoter, reducing NF-κB binding and inhibiting IL2 trancription."
TBET_2,IL2,negative,N10,1,regulates,direct,"Duplicated from original edge (TBET -> IL2, Model=N10). Original note: T-bet physically interacts with RelA/p65 at the Il2 promoter, reducing NF-κB binding and inhibiting IL2 trancription."
TBET_2,IL2,negative,P18,1,regulates,direct,"Duplicated from original edge (TBET -> IL2, Model=P18). Original note: T-bet physically interacts with RelA/p65 at the Il2 promoter, reducing NF-κB binding and inhibiting IL2 trancription."
TBET_2,IL23R,negative,P18,1,regulates,direct,"Duplicated from original edge (TBET -> IL23R, Model=P18). Original note: regulation of transcription. In intestinal/inflammatory CD4⁺ T cells, T-bet was found at a regulatory region in intron 3 of Il23r."
TBET_2,IL4,negative,AJ,1,regulates,direct,"Duplicated from original edge (TBET -> IL4, Model=AJ). Original note: indicated as ""binding and functional data"". T-bet directly binds regulatory elements of the Il4 locus and represses its transcription."
TBET_2,IL4,negative,MS15,1,regulates,direct,"Duplicated from original edge (TBET -> IL4, Model=MS15). Original note: T-bet directly binds regulatory elements of the Il4 locus and represses its transcription."
TBET_2,IL4,negative,N10,1,regulates,direct,"Duplicated from original edge (TBET -> IL4, Model=N10). Original note: T-bet directly binds regulatory elements of the Il4 locus and represses its transcription."
TBET_2,RORGT,negative,MS15,1,regulates,direct in the network sense,"Duplicated from original edge (TBET -> RORGT, Model=MS15). Original note: T-bet suppresses RORγt via binding RUNX1 and preventing it to bind to the Rorc promoter and activating its transcription. RUNX1 is not in any of the partial models."
TBET_2,RORGT,negative,MSM,1,regulates,direct in the network sense,"Duplicated from original edge (TBET -> RORGT, Model=MSM). Original note: T-bet suppresses RORγt via binding RUNX1 and preventing it to bind to the Rorc promoter and activating its transcription. RUNX1 is not in any of the partial models."
TBET_2,RORGT,negative,P18,1,regulates,direct in the network sense,"Duplicated from original edge (TBET -> RORGT, Model=P18). Original note: T-bet suppresses RORγt via binding RUNX1 and preventing it to bind to the Rorc promoter and activating its transcription. RUNX1 is not in any of the partial models."
TBET_2,RUNX3,positive,AJ,2,,indirect,"Duplicated from original edge (TBET -> RUNX3, Model=AJ). Original note: Runx3 expression is T-bet-dependent during Th1 differentiation, but weak evidence of direct T-bet binding to and activation of the Runx3 locus."
TBET_2,RUNX3,positive,N10,2,,indirect,"Duplicated from original edge (TBET -> RUNX3, Model=N10). Original note: Runx3 expression is T-bet-dependent during Th1 differentiation, but weak evidence of direct T-bet binding to and activation of the Runx3 locus."
TBET_2,SOCS1,positive,MSM,-,,wrong,"Duplicated from original edge (TBET -> SOCS1, Model=MSM). Original note: assumption, contradicted by evidence that TBET blocks SOCS1 transcription. The best-characterized effect of TBET on SOCS1 is repression. T-bet binds the Socs1 promoter; recruits BCL6, which represses transcription."
TBET_2,SOCS1,positive,MX,-,,wrong,"Duplicated from original edge (TBET -> SOCS1, Model=MX). Original note: assumption, contradicted by evidence that TBET blocks SOCS1 transcription. The best-characterized effect of TBET on SOCS1 is repression. T-bet binds the Socs1 promoter; recruits BCL6, which represses transcription."
TBET_2,SOCS1,positive,P18,-,,wrong,"Duplicated from original edge (TBET -> SOCS1, Model=P18). Original note: assumption, contradicted by evidence that TBET blocks SOCS1 transcription. The best-characterized effect of TBET on SOCS1 is repression. T-bet binds the Socs1 promoter; recruits BCL6, which represses transcription."
TBET,TBET_2,positive,AJ,0,necessary,,Reaching a higher level necessitates achieving the lower level first.
TBET_2,TBET,positive,AJ,-,,wrong,High-level should not activate low-level.
TBET_2,TBET_2,positive,AJ,2,,indirect,"Duplicated from original edge (TBET -> TBET, Model=AJ). Original note: Although indicated as ""binding and functional data"", the current evidence points to positive feedback loops instead of self-regulation."
TBET,TBET_2,positive,MS15,0,necessary,,Reaching a higher level necessitates achieving the lower level first.
TBET_2,TBET,positive,MS15,-,,wrong,High-level should not activate low-level.
TBET_2,TBET_2,positive,MS15,2,,indirect,"Duplicated from original edge (TBET -> TBET, Model=MS15). Original note: The current evidence points to positive feedback loops instead of self-regulation."
TBET,TBET_2,positive,MSM,0,necessary,,Reaching a higher level necessitates achieving the lower level first.
TBET_2,TBET,positive,MSM,-,,wrong,High-level should not activate low-level.
TBET_2,TBET_2,positive,MSM,2,,indirect,"Duplicated from original edge (TBET -> TBET, Model=MSM). Original note: The current evidence points to positive feedback loops instead of self-regulation."
TBET,TBET_2,positive,MX,0,necessary,,Reaching a higher level necessitates achieving the lower level first.
TBET_2,TBET,positive,MX,-,,wrong,High-level should not activate low-level.
TBET_2,TBET_2,positive,MX,2,,indirect,"Duplicated from original edge (TBET -> TBET, Model=MX). Original note: The current evidence points to positive feedback loops instead of self-regulation."
TBET,TBET_2,positive,N10,0,necessary,,Reaching a higher level necessitates achieving the lower level first.
TBET_2,TBET,positive,N10,-,,wrong,High-level should not activate low-level.
TBET_2,TBET_2,positive,N10,2,,indirect,"Duplicated from original edge (TBET -> TBET, Model=N10). Original note: The current evidence points to positive feedback loops instead of self-regulation."
TBET,TBET_2,positive,P18,0,necessary,,Reaching a higher level necessitates achieving the lower level first.
TBET_2,TBET,positive,P18,-,,wrong,High-level should not activate low-level.
TBET_2,TBET_2,positive,P18,2,,indirect,"Duplicated from original edge (TBET -> TBET, Model=P18). Original note: The current evidence points to positive feedback loops instead of self-regulation."
TBET_2,THPOK,positive,MSM,-,,wrong,"Duplicated from original edge (TBET -> THPOK, Model=MSM). Original note: assumption, contradicted by evidence that TBET promotes loss of THPOK."
TGFB,IFNG_2,negative,MS15,2,,indirect,"Duplicated from original edge (TGFB -> IFNG, Model=MS15). Original note: strong causal effect mediated by multiple paths"
