Regulator,Target,Sign,Model,Confidence Rank,Constraint,Direct,is_kept
TCR,THPOK,positive,MSM,2,,indirect,TAKEN_OUT
TGFB,BCL6,negative,MS15,1,regulates,direct in the network sense,KEPT
TGFB,FOXP3,positive,MS15,2,,indirect,TAKEN_OUT
TGFB,GATA3,negative,MS15,2,,indirect,TAKEN_OUT
TGFB,IFNG,negative,MS15,2,,indirect,TAKEN_OUT
TGFB,IFNG_2,negative,MS15,2,,indirect,TAKEN_OUT
TGFB,IL10,positive,MS15,2,,indirect,TAKEN_OUT
TGFB,IL9,positive,MS15,2,,indirect,TAKEN_OUT
TGFB,RORGT,positive,MS15,2,,indirect,TAKEN_OUT
TGFB,TGFB,positive,MS15,2,,indirect,TAKEN_OUT
TGFB,TGFBR,positive,"AJ, MSM, N10",1,regulates,direct,KEPT
TGFBR,CMAF,positive,AJ,2,,indirect,TAKEN_OUT
TGFBR,FOXP3,positive,P18,2,,indirect,TAKEN_OUT
TGFBR,PU1,positive,AJ,2,,indirect,KEPT
TGFBR,RORGT,positive,"AJ, N10, P18",2,,indirect,TAKEN_OUT
TGFBR,SMAD2,positive,MSM,1,regulates,direct,KEPT
TGFBR,SMAD3,positive,"AJ, N10",1,regulates,direct,KEPT
TGFB_e,GATA3,negative,P18,2,,indirect,TAKEN_OUT
TGFB_e,TGFB,positive,MS15,2,,indirect,TAKEN_OUT
TGFB_e,TGFBR,positive,"AJ, N10, P18",1,regulates,direct,KEPT
THPOK,CD4,positive,MSM,1,regulates,direct,KEPT
THPOK,CD8,negative,MSM,1,regulates,direct,KEPT
THPOK,RUNX3,negative,MSM,1,regulates,direct,KEPT
THPOK,THPOK,positive,MSM,1,regulates,direct,KEPT
proliferation,IFNG,positive,"AJ, N10",4,,assumption,KEPT
proliferation,IFNG_2,positive,"AJ, N10",4,,assumption,KEPT
proliferation,IL10,positive,"AJ, N10",4,,assumption,KEPT
proliferation,IL13,positive,AJ,4,,assumption,KEPT
proliferation,IL17,positive,"AJ, N10",4,,assumption,KEPT
proliferation,IL21,positive,"AJ, N10",4,,assumption,KEPT
proliferation,IL22,positive,AJ,4,,assumption,KEPT
proliferation,IL23,positive,N10,4,,assumption,KEPT
proliferation,IL24,positive,AJ,4,,assumption,KEPT
proliferation,IL25,positive,AJ,4,,assumption,KEPT
proliferation,IL3,positive,AJ,4,,assumption,KEPT
proliferation,IL31,positive,AJ,4,,assumption,KEPT
proliferation,IL35,positive,AJ,4,,assumption,KEPT
proliferation,IL4,positive,"AJ, N10",4,,assumption,KEPT
proliferation,IL5,positive,AJ,4,,assumption,KEPT
proliferation,IL6,positive,AJ,4,,assumption,KEPT
proliferation,IL9,positive,AJ,4,,assumption,KEPT
proliferation,TGFB,positive,"AJ, N10",4,,assumption,KEPT
proliferation,proliferation,positive,"AJ, N10",4,,assumption,KEPT
