Regulator,Target,Sign,Model,Classification,Confidence rank,Constraint,is_kept
IGF1R,IGF1R_2,positive,"Z17, Z21",,0,necessary,KEPT
IGF1R,IRS1,positive,"MCF7, T47D, TGEN",direct,1,regulates,KEPT
IGF1R,PDK1_pm,positive,"MCF7, T47D, TGEN",indirect,2,,TAKEN_OUT
IGF1R,PI3K,positive,"MCF7, T47D, TGEN, Z17, Z21",indirect,2,,TAKEN_OUT
IGF1R,PI3K_2,positive,"MCF7, T47D, TGEN",indirect,2,,TAKEN_OUT
IGF1R,RAS,positive,"Z17, Z21",indirect,2,,TAKEN_OUT
IGF1R_2,AKT,positive,"MCF7, T47D, TGEN",indirect,2,,TAKEN_OUT
IGF1R_2,IRS1,positive,"MCF7, T47D, TGEN",direct,1,,KEPT
IGF1R_2,PDK1_pm,positive,"MCF7, T47D, TGEN",indirect,2,,TAKEN_OUT
IGF1R_2,PI3K,positive,"MCF7, T47D, TGEN, Z17, Z21",indirect,2,,TAKEN_OUT
IGF1R_2,PI3K_2,positive,"MCF7, T47D, TGEN",indirect,2,,TAKEN_OUT
IGF1R_2,RAS,positive,"Z17, Z21",indirect,2,,TAKEN_OUT
IGF1R_T,IGF1R,positive,"Z17, Z21",direct,1,regulates,KEPT
IGF1R_T,IGF1R_2,positive,Z17,direct,1,,KEPT
IGF1R_T,IGF1R_T_2,positive,Z21,,0,necessary,KEPT
IGF1R_T_2,IGF1R,positive,Z17,direct,1,,KEPT
IGF1R_T_2,IGF1R_2,positive,"Z17, Z21",direct,1,,KEPT
IL1B,IL6,positive,"MCF7, T47D, TGEN",indirect,2,,KEPT
IL1B,STAT3,positive,"MCF7, T47D, TGEN",indirect,2,,KEPT
IL6,IL6,positive,"MCF7, T47D, TGEN",indirect,2,,KEPT
IL6,IL6R,positive,"MCF7, T47D, TGEN",direct,1,necessary,KEPT
IL6R,JAK2,positive,"MCF7, T47D, TGEN",direct,1,regulates,KEPT
INS,IGF1R,positive,"MCF7, TGEN",direct,1,regulates,KEPT
INS,IGF1R_2,positive,"MCF7, TGEN",direct,1,,KEPT
INS,INSR,positive,"MCF7, T47D, TGEN",direct,1,regulates,KEPT
INSR,GRB7,positive,"MCF7, T47D, TGEN",direct,1,regulates,KEPT
INSR,IRS1,positive,"MCF7, T47D, TGEN",direct,1,regulates,KEPT
INSR,PI3K,positive,"MCF7, TGEN",indirect,2,,TAKEN_OUT
INSR,PI3K_2,positive,"MCF7, TGEN",indirect,2,,TAKEN_OUT
IRS1,AKT,positive,"MCF7, T47D, TGEN",indirect,2,,TAKEN_OUT
IRS1,GRB2,positive,"MCF7, T47D, TGEN",direct,1,regulates,KEPT
IRS1,JAK2,positive,"MCF7, T47D, TGEN",assumption,4,,TAKEN_OUT
IRS1,PI3K,positive,"MCF7, T47D, TGEN",direct,1,regulates,KEPT
IRS1,PI3K_2,positive,"MCF7, T47D, TGEN",direct,1,,KEPT
Ipatasertib,AKT,negative,"Z17, Z21",direct,1,regulates,KEPT
JAK2,MYC,positive,T47D,indirect,2,,TAKEN_OUT
JAK2,MYC_2,positive,T47D,indirect,2,,TAKEN_OUT
JAK2,STAT1,positive,"MCF7, T47D, TGEN",direct,1,regulates,KEPT
JAK2,STAT3,positive,"MCF7, T47D, TGEN",direct,1,regulates,KEPT
JAK2,STAT5,positive,"MCF7, T47D, TGEN",direct,1,regulates,KEPT
JUN,CyclinD,positive,"HL, SL",direct,1,regulates,KEPT
JUN,CyclinD_2,positive,"HL, SL",direct,1,,KEPT
JUN,EGFR,positive,HL,direct,1,regulates,KEPT
JUN,JUN,positive,"BL, HL, SL",direct,1,regulates,KEPT
JUN,PRAS40,positive,HL,indirect,2,,TAKEN_OUT
JUN,TCF7L2,positive,"MCF7, T47D, TGEN",direct,1,regulates,KEPT
KMT2D,CYCLINDc,positive,"MCF7, T47D",indirect,2,,KEPT
KMT2D,CYCLINDc_2,positive,"MCF7, T47D",indirect,2,,KEPT
KMT2D,ER_transcription_2,positive,"Z17, Z21",direct,1,regulates,KEPT
KMT2D,MYC,positive,"MCF7, T47D",indirect,2,,KEPT
KMT2D,MYC_2,positive,"MCF7, T47D",indirect,2,,TAKEN_OUT
KRT14,TRADD,negative,"MCF7, T47D, TGEN",direct,1,regulates,KEPT
LATS1,YAP1,negative,"MCF7, T47D, TGEN",direct,1,regulates,KEPT
LCK,NOTCH1,positive,"MCF7, T47D, TGEN",assumption,4,,KEPT
MAPK,MAPK_2,positive,"Z17, Z21",,0,necessary,KEPT
MAPK8,JUN,positive,"MCF7, T47D, TGEN",direct,1,regulates,KEPT
MAPK8,TWIST1,positive,"MCF7, TGEN",indirect,2,,TAKEN_OUT
MCL1,Apoptosis,negative,Z17,indirect,2,,KEPT
MCL1,Apoptosis_2,negative,"Z17, Z21",indirect,2,,KEPT
MCL1,Apoptosis_3,negative,"Z17, Z21",indirect,2,,KEPT
MCL1,BAK1,negative,"MCF7, T47D, TGEN",direct,1,regulates,KEPT
MCL1,BAX,negative,"MCF7, T47D, TGEN",direct,1,regulates,KEPT
MCL1_T,MCL1,positive,Z21,direct,1,regulates,KEPT
MDM2,NOTCH1,positive,"MCF7, TGEN",direct,1,regulates,KEPT
MDM2,p53,negative,"MCF7, T47D, TGEN",direct,1,regulates,KEPT
MEK,EGFR,negative,"MCF7, T47D, TGEN",indirect,2,,TAKEN_OUT
MEK,ERK,positive,"BS, HS, MCF7, SS, T47D, TGEN",direct,1,necessary,KEPT
MEK,ERK_2,positive,"BS, HS, MCF7, SS, T47D, TGEN",direct,1,,KEPT
MEK,MEK_2,positive,"BS, HS, SS, Z17, Z21",,0,necessary,KEPT
MEK_2,EGFR,negative,"MCF7, T47D, TGEN",indirect,2,,TAKEN_OUT
MEK_2,ERK,positive,"BS, HS, MCF7, SS, T47D, TGEN",direct,1,,KEPT
MEK_2,ERK_2,positive,"BS, HS, MCF7, SS, T47D, TGEN, Z17, Z21",direct,1,,KEPT
MEK_2,HER2HER3c_2,negative,"Z17, Z21",indirect,2,,TAKEN_OUT
MYC,CDKN2A,negative,"MCF7, T47D, TGEN",indirect,2,,KEPT
MYC,CYCLINDc,positive,"MCF7, T47D, TGEN",indirect,2,,KEPT
MYC,CYCLINDc_2,positive,"MCF7, T47D, TGEN",indirect,2,,KEPT
MYC,MYC_2,positive,"Z17, Z21",,0,necessary,KEPT
MYC,MYC_targets,positive,Z21,direct,1,regulates,KEPT
MYC,MYC_targets_2,positive,Z21,direct,1,,KEPT
MYC,p21,negative,"MCF7, T47D, TGEN",indirect,2,,KEPT
MYC,p21_p27_T,negative,"Z17, Z21",assumption,4,,TAKEN_OUT
MYC_2,CDKN2A,negative,"MCF7, T47D, TGEN",indirect,2,,KEPT
MYC_2,CYCLINDc,positive,"MCF7, T47D, TGEN",indirect,2,,KEPT
MYC_2,CYCLINDc_2,positive,"MCF7, T47D, TGEN",indirect,2,,KEPT
MYC_2,MYC_targets,positive,Z21,direct,1,,KEPT
MYC_2,MYC_targets_2,positive,Z21,direct,1,,KEPT
MYC_2,p21,negative,"MCF7, T47D, TGEN",indirect,2,,KEPT
MYC_2,p21_p27_T,negative,"Z17, Z21",assumption,4,,TAKEN_OUT
MYC_T,MYC_2,positive,Z21,direct,1,,KEPT
MYC_targets,MYC_targets_2,positive,Z21,,0,necessary,KEPT
MYC_targets,Proliferation,positive,Z21,assumption,4,,KEPT
MYC_targets_2,Proliferation_3,positive,Z21,assumption,4,,KEPT
MYC_targets_2,Proliferation_4,positive,Z21,assumption,4,,KEPT
MYOD1,MYOG,positive,"MCF7, T47D, TGEN",direct,1,regulates,KEPT
MYOG,PAX7,negative,"MCF7, T47D, TGEN",correlation,3,,KEPT
NEDD4L,NF2,positive,"MCF7, T47D, TGEN",direct in the network sense,1,regulates,KEPT
NF1,CASP8,positive,"MCF7, TGEN",indirect,2,,TAKEN_OUT
NF1,HRAS,negative,"MCF7, T47D, TGEN",direct,1,regulates,KEPT
NF2,LATS1,positive,"MCF7, T47D, TGEN",direct,1,regulates,KEPT
NF2,MYOD1,negative,T47D,assumption,4,,KEPT
NFKB,EGFR,positive,T47D,direct,1,regulates,KEPT
NFKB,IL1B,positive,"MCF7, T47D, TGEN",direct,1,regulates,KEPT
NFKB,PIM,positive,T47D,assumption,4,,TAKEN_OUT
NFKB,RELA,positive,"MCF7, T47D, TGEN",,0,necessary,KEPT
NICD,HES1,positive,"MCF7, T47D, TGEN",direct,1,regulates,KEPT
NICD,HEY1,positive,"MCF7, T47D, TGEN",direct,1,regulates,KEPT
NOTCH1,NFKB,positive,"MCF7, T47D, TGEN",indirect,2,,KEPT
NOTCH1,NICD,positive,"MCF7, T47D, TGEN",direct,1,necessary,KEPT
NOTCH1,PAX7,positive,"MCF7, TGEN",indirect,2,,KEPT
NRG1,AKT,positive,"MCF7, TGEN",indirect,2,,TAKEN_OUT
NRG1,CYCLINDc,positive,"MCF7, T47D",indirect,2,,TAKEN_OUT
NRG1,CYCLINDc_2,positive,"MCF7, T47D",indirect,2,,TAKEN_OUT
NRG1,HER2HER3c_2,positive,Z21,indirect,2,,TAKEN_OUT
NRG1,HER3,positive,"BS, HS, MCF7, SS, T47D, TGEN",direct,1,regulates,KEPT
NRG1,HER3_2,positive,"BS, HS, MCF7, SS, T47D, TGEN",direct,1,,KEPT
NRG1,MYC,positive,"MCF7, T47D",indirect,2,,TAKEN_OUT
NRG1,MYC_2,positive,"MCF7, T47D",indirect,2,,TAKEN_OUT
NRG1,mTORC1,positive,"MCF7, T47D, TGEN",indirect,2,,TAKEN_OUT
Navitoclax,BCL2,negative,Z21,direct,1,regulates,KEPT
Navitoclax,BCLXL,negative,Z21,direct,1,regulates,KEPT
Neratinib,HER2,negative,Z17,direct,1,regulates,KEPT
Neratinib,HER2HER3c,negative,"Z17, Z21",direct,1,regulates,KEPT
Neratinib,HER2HER3c_2,negative,"Z17, Z21",direct,1,,KEPT
PAK1,BAD,negative,"MCF7, T47D, TGEN",direct,1,regulates,KEPT
PAK2,KRT14,positive,"MCF7, T47D, TGEN",assumption,4,,KEPT
PBX1,ER_transcription_2,positive,"Z17, Z21",direct,1,regulates,KEPT
PDK1_ic,PAK1,positive,T47D,direct,1,regulates,KEPT
PDK1_ic,SGK1,positive,"MCF7, T47D, TGEN, Z17, Z21",direct,1,necessary,KEPT
PDK1_pm,AKT,positive,"BS, HS, MCF7, SS, T47D, TGEN, Z17, Z21",direct,1,regulates,KEPT
PDK1_pm,ERK,positive,SS,indirect,2,,TAKEN_OUT
PDK1_pm,ERK_2,positive,SS,indirect,2,,TAKEN_OUT
PDK1_pm,HER2,positive,HS,correlation,3,,TAKEN_OUT
PDK1_pm,MEK,positive,HS,direct,1,regulates,KEPT
PDK1_pm,MEK_2,positive,HS,direct,1,,KEPT
PG,PGR,positive,"MCF7, T47D, TGEN",direct,1,regulates,KEPT
PI3K,HRAS,positive,TGEN,indirect,2,,TAKEN_OUT
PI3K,PI3K_2,positive,"Z17, Z21",,0,necessary,KEPT
PI3K,PIP3,positive,"MCF7, T47D, TGEN, Z17, Z21",direct,1,regulates,KEPT
PI3K,PIP3_2,positive,"MCF7, T47D, TGEN",direct,1,,KEPT
PI3K,RAC1,positive,"MCF7, T47D, TGEN",indirect,2,,TAKEN_OUT
PI3K,RAS,positive,TGEN,indirect,2,,TAKEN_OUT
PI3K,RAS_2,positive,TGEN,indirect,2,,TAKEN_OUT
PI3K,RAS_3,positive,TGEN,indirect,2,,TAKEN_OUT
PI3K_2,HRAS,positive,TGEN,indirect,2,,TAKEN_OUT
PI3K_2,PIP3,positive,"MCF7, T47D, TGEN, Z17, Z21",direct,1,,KEPT
PI3K_2,PIP3_2,positive,"MCF7, T47D, TGEN, Z17, Z21",direct,1,,KEPT
PI3K_2,RAC1,positive,"MCF7, T47D, TGEN",indirect,2,,TAKEN_OUT
PI3K_2,RAS,positive,TGEN,indirect,2,,TAKEN_OUT
PI3K_2,RAS_2,positive,TGEN,indirect,2,,TAKEN_OUT
PI3K_2,RAS_3,positive,TGEN,indirect,2,,TAKEN_OUT
PIM,BAD,negative,"MCF7, T47D, TGEN, Z17, Z21",direct,1,regulates,KEPT
PIM,FOXO3,negative,"Z17, Z21",direct,1,regulates,KEPT
PIM,MYC,positive,"MCF7, T47D, TGEN",direct,1,regulates,KEPT
PIM,MYC_2,positive,"MCF7, T47D, TGEN",direct,1,,KEPT
PIM,PRAS40,negative,"Z17, Z21",direct,1,regulates,KEPT
PIM,RELA,positive,"MCF7, T47D, TGEN",direct,1,regulates,KEPT
PIM,mTORC1,positive,"MCF7, T47D",indirect,2,,TAKEN_OUT
PIM,p21_p27,negative,"Z17, Z21",assumption,4,,TAKEN_OUT
PIP3,AKT,positive,"MCF7, T47D, TGEN, Z17, Z21",direct,1,regulates,KEPT
PIP3,HRAS,positive,"MCF7, T47D",indirect,2,,TAKEN_OUT
PIP3,PDK1_pm,positive,"MCF7, T47D, TGEN, Z17, Z21",direct,1,necessary,KEPT
PIP3,PIP3_2,positive,"Z17, Z21",,0,necessary,KEPT
PIP3,RAF1,positive,"Z17, Z21",indirect,2,,TAKEN_OUT
PIP3,RAF1_2,positive,"Z17, Z21",indirect,2,,TAKEN_OUT
PIP3,RAS,positive,"MCF7, T47D",assumption,4,,TAKEN_OUT
PIP3,RAS_2,positive,"MCF7, T47D",assumption,4,,TAKEN_OUT
PIP3,RAS_3,positive,"MCF7, T47D",assumption,4,,TAKEN_OUT
PIP3,mTORC2_pm,positive,"MCF7, T47D, TGEN, Z17, Z21",direct,1,necessary,KEPT
PIP3_2,AKT,positive,"MCF7, T47D, TGEN, Z17, Z21",direct,1,,KEPT
PIP3_2,HRAS,positive,"MCF7, T47D",indirect,2,,TAKEN_OUT
PIP3_2,PDK1_pm,positive,"MCF7, T47D, TGEN, Z17, Z21",direct,1,,KEPT
PIP3_2,RAF1,positive,"Z17, Z21",indirect,2,,TAKEN_OUT
PIP3_2,RAF1_2,positive,"Z17, Z21",indirect,2,,TAKEN_OUT
PIP3_2,RAS,positive,"MCF7, T47D",assumption,4,,TAKEN_OUT
PIP3_2,RAS_2,positive,"MCF7, T47D",assumption,4,,TAKEN_OUT
PIP3_2,RAS_3,positive,"MCF7, T47D",assumption,4,,TAKEN_OUT
PIP3_2,mTORC2_pm,positive,"MCF7, T47D, TGEN, Z17, Z21",direct,1,,KEPT
PLCg,PKCa,positive,"BS, HS, SS",direct in the network sense,1,regulates,KEPT
PRAS40,PRAS40,positive,"BL, HL, SL",indirect,2,,KEPT
PRAS40,S6K,negative,"BL, HL, SL",indirect,2,,TAKEN_OUT
PRAS40,mTORC1,negative,"Z17, Z21",direct,1,regulates,KEPT
PRKAA2,TSC2,positive,"MCF7, T47D, TGEN",direct,1,regulates,KEPT
PRKACA,CASP9,negative,"MCF7, TGEN",direct,1,regulates,KEPT
PRKACA,NEDD4L,negative,"MCF7, TGEN",direct,1,regulates,KEPT
PRKACA,PRKAA2,negative,"MCF7, TGEN",assumption,4,,TAKEN_OUT
PRKACA,SRC,positive,"MCF7, T47D, TGEN",assumption,4,,KEPT
PTEN,AKT,negative,"BL, HL, SL",indirect,2,,TAKEN_OUT
PTEN,CREB1,negative,"MCF7, TGEN",direct,1,regulates,KEPT
PTEN,HER3,negative,BL,indirect,2,,TAKEN_OUT
PTEN,HER3_2,negative,BL,indirect,2,,TAKEN_OUT
PTEN,PIP3,negative,"MCF7, T47D, TGEN, Z17, Z21",direct,1,regulates,KEPT
PTEN,PIP3_2,negative,"MCF7, T47D, TGEN, Z17",direct,1,,KEPT
PTEN,PTEN,positive,"BL, HL, SL",indirect,2,,TAKEN_OUT
PTEN,PTEN_2,positive,"BL, HL, SL, Z21",,0,necessary,KEPT
PTEN,p53,positive,"BL, SL",direct,1,regulates,KEPT
PTEN_2,AKT,negative,"BL, HL, SL",indirect,2,,TAKEN_OUT
PTEN_2,CREB1,negative,"MCF7, TGEN",direct,1,,KEPT
PTEN_2,HER3,negative,BL,indirect,2,,TAKEN_OUT
PTEN_2,HER3_2,negative,BL,indirect,2,,TAKEN_OUT
PTEN_2,PIP3,negative,"MCF7, T47D, TGEN, Z17, Z21",direct,1,,KEPT
PTEN_2,PIP3_2,negative,"MCF7, T47D, TGEN, Z17, Z21",direct,1,,KEPT
PTEN_2,PTEN_2,positive,"BL, HL, SL",indirect,2,,TAKEN_OUT
PTEN_2,p53,positive,"BL, SL",direct,1,,KEPT
PTEN_T,PTEN,positive,Z21,direct,1,necessary,KEPT
PTEN_T,PTEN_T_2,positive,Z21,,0,necessary,KEPT
PTEN_T_2,PTEN_2,positive,Z21,direct,1,,KEPT
Palbociclib,CDK46,negative,"Z17, Z21",direct,1,regulates,KEPT
RAC1,MAPK8,positive,"MCF7, T47D, TGEN",indirect,2,,KEPT
RAC1,PAK1,positive,T47D,direct,1,regulates,KEPT
RAC1,PAK2,positive,"MCF7, T47D, TGEN",direct,1,regulates,KEPT
RAF1,ERK,positive,"BL, HL, SL",indirect,2,,TAKEN_OUT
RAF1,ERK_2,positive,"BL, HL, SL",indirect,2,,TAKEN_OUT
RAF1,MEK,positive,"MCF7, T47D, TGEN",direct,1,necessary,KEPT
RAF1,MEK_2,positive,"MCF7, T47D, TGEN",direct,1,,KEPT
RAF1,RAF1_2,positive,"BL, HL, SL, Z17, Z21",,0,necessary,KEPT
RAF1_2,ERK,positive,"BL, HL, SL",indirect,2,,TAKEN_OUT
RAF1_2,ERK_2,positive,"BL, HL, SL",indirect,2,,TAKEN_OUT
RAF1_2,MEK,positive,"MCF7, T47D, TGEN",direct,1,,KEPT
RAF1_2,MEK_2,positive,"MCF7, T47D, TGEN, Z17, Z21",direct,1,,KEPT
RAS,PI3K,positive,"MCF7, TGEN, Z17, Z21",direct,1,regulates,KEPT
RAS,PI3K_2,positive,"MCF7, TGEN",direct,1,,KEPT
RAS,RAF1,positive,"MCF7, T47D, TGEN, Z17, Z21",direct,1,regulates,KEPT
RAS,RAF1_2,positive,"MCF7, T47D, TGEN",direct,1,,KEPT
RAS,RAS_2,positive,"Z17, Z21",,0,necessary,KEPT
RAS_2,PI3K,positive,"MCF7, TGEN, Z17, Z21",direct,1,,KEPT
RAS_2,PI3K_2,positive,"MCF7, TGEN",direct,1,,KEPT
RAS_2,RAF1,positive,"MCF7, T47D, TGEN, Z17, Z21",direct,1,,KEPT
RAS_2,RAF1_2,positive,"MCF7, T47D, TGEN, Z17, Z21",direct,1,,KEPT
RAS_2,RAS_3,positive,"Z17, Z21",,0,necessary,KEPT
RAS_3,PI3K,positive,"MCF7, TGEN, Z17, Z21",direct,1,,KEPT
RAS_3,PI3K_2,positive,"MCF7, TGEN",direct,1,,KEPT
RAS_3,RAF1,positive,"MCF7, T47D, TGEN, Z17, Z21",direct,1,,KEPT
RAS_3,RAF1_2,positive,"MCF7, T47D, TGEN, Z17, Z21",direct,1,,KEPT
RB,ABL1,negative,MCF7,direct,1,regulates,KEPT
RB,E2F,negative,"MCF7, T47D, TGEN",direct,1,regulates,KEPT
RB,E2F_2,negative,"MCF7, T47D, TGEN",direct,1,,KEPT
RB,E2F_3,negative,"MCF7, T47D, TGEN",direct,1,,KEPT
RB,TSC2,positive,HL,assumption,4,,TAKEN_OUT
RB,p53,positive,"BL, HL, SL",indirect,2,,KEPT
RB,pRB,negative,merge,,0,regulates,KEPT
RHEB,mTORC1,positive,"MCF7, T47D, TGEN",direct,1,regulates,KEPT
RPS6,CyclinD,positive,BL,indirect,2,,KEPT
RPS6,CyclinD_2,positive,BL,indirect,2,,KEPT
RPS6,NFKB,positive,SL,correlation,3,,KEPT
RPS6,RAF1,positive,SL,assumption,4,,TAKEN_OUT
RPS6,RAF1_2,positive,SL,assumption,4,,TAKEN_OUT
Rb_T,pRB,negative,Z21,assumption,4,,KEPT
Rb_T,pRB_2,negative,Z21,assumption,4,,KEPT
Rb_T,pRB_3,negative,Z21,assumption,4,,KEPT
S63845,MCL1,negative,Z21,direct,1,regulates,KEPT
S6K,CyclinB1,positive,SL,assumption,4,,TAKEN_OUT
S6K,CyclinD,positive,HL,indirect,2,,TAKEN_OUT
S6K,CyclinD_2,positive,HL,indirect,2,,TAKEN_OUT
S6K,IRS1,negative,"MCF7, T47D, TGEN",direct,1,regulates,KEPT
S6K,NEDD4L,negative,TGEN,assumption,4,,KEPT
S6K,RPS6,positive,"BL, HL, SL",direct,1,regulates,KEPT
S6K,Translation,positive,"Z17, Z21",indirect,2,,KEPT
S6K,mTORC2_pm,negative,"MCF7, T47D, TGEN",indirect,2,,TAKEN_OUT
SGK1,CREB1,positive,T47D,direct,1,regulates,KEPT
SGK1,FOXO1,negative,"MCF7, T47D, TGEN",direct,1,regulates,KEPT
SGK1,FOXO3,negative,"Z17, Z21",direct,1,regulates,KEPT
SGK1,NEDD4L,negative,"MCF7, T47D, TGEN",direct,1,regulates,KEPT
SGK1,TSC2,negative,"Z17, Z21",direct,1,regulates,KEPT
SGK1_T,SGK1,positive,"Z17, Z21",direct,1,necessary,KEPT
SOS1,HRAS,positive,"MCF7, T47D, TGEN",direct,1,regulates,KEPT
SOS1,RAS,positive,"MCF7, T47D, TGEN",direct,1,regulates,KEPT
SOS1,RAS_2,positive,"MCF7, T47D, TGEN",direct,1,,KEPT
SOS1,RAS_3,positive,"MCF7, T47D, TGEN",direct,1,,KEPT
SRC,ABL1,positive,"MCF7, TGEN",direct,1,regulates,KEPT
SRC,CASP8,negative,"MCF7, T47D, TGEN",direct,1,regulates,KEPT
SRC,CTNNB1,positive,"MCF7, TGEN",direct,1,regulates,KEPT
SRC,GRB2,positive,"MCF7, T47D, TGEN",direct,1,regulates,KEPT
SRC,IGF1R,positive,"MCF7, TGEN",direct,1,regulates,KEPT
SRC,IGF1R_2,positive,"MCF7, TGEN",direct,1,,KEPT
SRC,PAK2,positive,"MCF7, T47D, TGEN",indirect,2,,TAKEN_OUT
SRC,PTEN,negative,"MCF7, T47D, TGEN",indirect,2,,TAKEN_OUT
SRC,PTEN_2,negative,"MCF7, T47D, TGEN",indirect,2,,TAKEN_OUT
SRC,STAT1,positive,"MCF7, T47D, TGEN",direct,1,regulates,KEPT
SRC,STAT3,positive,"MCF7, T47D, TGEN",direct,1,regulates,KEPT
SRC,STAT5,positive,"MCF7, TGEN",direct,1,regulates,KEPT
STAT1,GATA3,negative,"MCF7, T47D, TGEN",direct in the network sense,1,regulates,KEPT
STAT3,IL6R,positive,T47D,direct,1,regulates,KEPT
STAT3,MYC,positive,"MCF7, T47D, TGEN",direct,1,regulates,KEPT
STAT3,MYC_2,positive,"MCF7, T47D, TGEN",direct,1,,KEPT
STAT5,IL8,positive,"MCF7, T47D, TGEN",direct,1,regulates,KEPT
STAT5,PIM,positive,"MCF7, TGEN",direct,1,regulates,KEPT
STK11,PRKAA2,positive,"MCF7, T47D, TGEN",direct,1,regulates,KEPT
TCF7L2,CYCLINDc,positive,"MCF7, T47D, TGEN",indirect,2,,KEPT
TCF7L2,CYCLINDc_2,positive,"MCF7, T47D, TGEN",indirect,2,,KEPT
TCF7L2,PAK1,positive,"MCF7, T47D, TGEN",assumption,4,,KEPT
TEAD1,CYCLINDc,positive,"MCF7, T47D, TGEN",indirect,2,,KEPT
TEAD1,CYCLINDc_2,positive,"MCF7, T47D, TGEN",indirect,2,,KEPT
TRADD,FADD,positive,"MCF7, T47D, TGEN",direct,1,regulates,KEPT
TSC2,RHEB,negative,"MCF7, T47D, TGEN",direct,1,regulates,KEPT
TSC2,S6K,negative,"BL, HL, SL",indirect,2,,TAKEN_OUT
TSC2,mTORC1,negative,"Z17, Z21",indirect,2,,TAKEN_OUT
TWIST1,NF1,negative,"MCF7, T47D, TGEN",assumption,4,,KEPT
Trametinib,MEK,negative,"Z17, Z21",direct,1,regulates,KEPT
Trametinib,MEK_2,negative,"Z17, Z21",direct,1,,KEPT
Translation,MCL1,positive,Z17,direct,1,regulates,KEPT
Translation,MYC_targets,positive,Z21,direct,1,regulates,KEPT
Translation,MYC_targets_2,positive,Z21,direct,1,,KEPT
Translation,Proliferation,positive,Z17,assumption,4,,KEPT
Translation,Proliferation_2,positive,Z17,assumption,4,,KEPT
Translation,Proliferation_3,positive,Z17,assumption,4,,KEPT
Translation,Proliferation_4,positive,Z17,assumption,4,,KEPT
WNT1,CTNNB1,positive,"MCF7, T47D, TGEN",indirect,2,,KEPT
WNT1,PRKACA,positive,"MCF7, T47D, TGEN",assumption,4,,KEPT
YAP1,CTNNB1,positive,"MCF7, TGEN",correlation,3,,KEPT
YAP1,TEAD1,positive,"MCF7, T47D, TGEN",direct,1,regulates,KEPT
cycE_CDK2,pRB,positive,Z17,direct,1,regulates,KEPT
cycE_CDK2,pRB_2,positive,"Z17, Z21",direct,1,,KEPT
cycE_CDK2,pRB_3,positive,"Z17, Z21",direct,1,,KEPT
cycE_CDK2_T,cycE_CDK2,positive,"Z17, Z21",direct,1,necessary,KEPT
erlotinib,EGFR,negative,"BL, BS, HL, HS, SL, SS",direct,1,regulates,KEPT
erlotinib,HER2,negative,"BL, BS, HL, HS, SL, SS",direct,1,regulates,KEPT
erlotinib,HER3,negative,"BL, BS, HL, HS, SL, SS",indirect,2,,KEPT
erlotinib,HER3_2,negative,"BL, BS, HL, HS, SL, SS",indirect,2,,KEPT
mTORC1,EIF4,positive,"Z17, Z21",indirect,2,,TAKEN_OUT
mTORC1,EIF4EBP1,negative,"MCF7, T47D, TGEN",direct,1,regulates,KEPT
mTORC1,S6K,positive,"BS, HS, MCF7, SS, T47D, TGEN, Z17, Z21",direct,1,regulates,KEPT
mTORC2_ic,SGK1,positive,"MCF7, T47D, TGEN, Z17, Z21",direct,1,necessary,KEPT
mTORC2_pm,AKT,positive,"MCF7, T47D, TGEN, Z17, Z21",direct,1,regulates,KEPT
p21,p21_p27,positive,merge,,0,regulates,KEPT
p21_T,p21,positive,merge,direct,1,regulates,KEPT
p21_T,p21_T_2,positive,Z21,,0,necessary,KEPT
p21_T,p21_p27_T,positive,Z21,,0,regulates,KEPT
p21_T_2,p21_p27_T,positive,Z21,,0,,KEPT
p21_p27,cycE_CDK2,negative,"Z17, Z21",direct,1,regulates,KEPT
p21_p27_T,p21_p27,positive,"Z17, Z21",direct,1,regulates,KEPT
p27_T,p21_p27_T,positive,Z21,,0,regulates,KEPT
p38,p38,positive,"BL, HL, SL",assumption,4,,TAKEN_OUT
p38,p53,positive,"BL, HL",direct,1,regulates,KEPT
p53,BAK1,positive,"MCF7, T47D, TGEN",direct,1,regulates,KEPT
p53,BAX,positive,"MCF7, T47D, TGEN",direct,1,regulates,KEPT
p53,CyclinB1,negative,"BL, HL, SL",direct,1,regulates,KEPT
p53,FAS,positive,"MCF7, T47D, TGEN",direct,1,regulates,KEPT
p53,FASLG,positive,"MCF7, T47D, TGEN",indirect,2,,TAKEN_OUT
p53,GSK3B,positive,"BL, HL, SL",direct,1,regulates,KEPT
p53,MDM2,positive,"MCF7, T47D, TGEN",direct,1,regulates,KEPT
p53,NF1,positive,"MCF7, TGEN",indirect,2,,KEPT
p53,RB,positive,HL,indirect,2,,TAKEN_OUT
p53,p53,positive,"BL, HL, SL",direct,1,regulates,KEPT
pRB,E2F,positive,"Z17, Z21",indirect,2,,TAKEN_OUT
pRB,RB,negative,merge,,0,regulates,KEPT
pRB,pRB_2,positive,"Z17, Z21",,0,necessary,KEPT
pRB_2,E2F_2,positive,"Z17, Z21",indirect,2,,KEPT
pRB_2,E2F_3,positive,"Z17, Z21",indirect,2,,KEPT
pRB_2,pRB_3,positive,Z17,,0,necessary,KEPT
pRB_3,E2F_2,positive,Z21,indirect,2,,KEPT
pRB_3,E2F_3,positive,"Z17, Z21",indirect,2,,KEPT
pertuzumab,EGFR,negative,"BL, BS, HL, HS, SL, SS",indirect,2,,TAKEN_OUT
