index,Regulator,Target,Sign,Model,Classification,Confidence rank,Constraint,Notes
1832,JUN,CyclinD_2,positive,SL,direct,1,,"Duplicated from original edge (JUN -> CyclinD, Model=SL). Original note: regulation of transcription. c-JUN is part of the AP-1 transcription factor complex and directly binds an AP-1-responsive element in the CCND1 promoter, promoting Cyclin D1 transcription."
1833,AKT,HER3_2,negative,SL,indirect,2,,"Duplicated from original edge (AKT -> HER3, Model=SL). Original note: causal effect mediated by FOXO3"
1834,HER3,HER3_2,positive,SL,,0,necessary,Reaching a higher level necessitates achieving the lower level first.
1835,HER3_2,HER3,positive,SL,unsupported,-,,High-level should not activate low-level.
1836,HER3_2,HER3_2,positive,SL,unsupported,-,,"HER3 does not self-regulate. This inferred positive self-regulation contradicted by strong evidence of a negative feedback loop mediated by PI3K, AKT, and FOXO3."
1837,erlotinib,HER3_2,negative,SL,indirect,2,,"Duplicated from original edge (erlotinib -> HER3, Model=SL). Original note: causal effect mediated by HER2 or another kinase"
1838,pertuzumab,HER3_2,negative,SL,replaced,,,"Duplicated from original edge (pertuzumab -> HER3, Model=SL). Original note: Pertuzumab does not act on HER3 but on the HER2-HER3 complex, which is a separate node. This edge is replaced by a Pertuzumab-| HER2HER3c edge."
1839,stimulus,HER3_2,positive,SL,correlation,3,,"Duplicated from original edge (stimulus -> HER3, Model=SL). Original note: This proteomics- inferred edge is consistent with evidence that growth factors in a growth medium lead to HER3 activation"
1840,CyclinB1,ERK_2,positive,SL,unsupported,-,,"Duplicated from original edge (CyclinB1 -> ERK, Model=SL). Original note: This proteomics-inferred edge is not supported by causal or mechanistic evidence. Any causal effects would need the active Cyclin B1- CDK1 complex."
1841,EGFR,ERK_2,positive,SL,indirect,2,,"Duplicated from original edge (EGFR -> ERK, Model=SL). Original note: causal effect mediated by SOS/GRB, RAS, RAF, MEK"
1842,ERK,ERK_2,positive,SL,,0,necessary,Reaching a higher level necessitates achieving the lower level first.
1843,ERK_2,ERK,positive,SL,unsupported,-,,High-level should not activate low-level.
1844,ERK_2,ERK_2,positive,SL,unsupported,-,,This proteomics- inferred self-regulation is contradicted by the fact that ERK activity is strongly self-limiting via negative feedback loops.
1845,RAF1,ERK_2,positive,SL,indirect,2,,"Duplicated from original edge (RAF1 -> ERK, Model=SL). Original note: causal effect mediated by MEK"
1846,RAF1_2,ERK,positive,SL,indirect,2,,"Duplicated from original edge (RAF1 -> ERK, Model=SL). Original note: causal effect mediated by MEK"
1847,RAF1_2,ERK_2,positive,SL,indirect,2,,"Duplicated from original edge (RAF1 -> ERK, Model=SL). Original note: causal effect mediated by MEK"
1848,HER3_2,NFKB,positive,SL,indirect,2,,"Duplicated from original edge (HER3 -> NFKB, Model=SL). Original note: causal effect mediated by multiple mechanisms, including PI3K and PLCg"
1849,HER3_2,PRAS40,positive,SL,unsupported,-,,"Duplicated from original edge (HER3 -> PRAS40, Model=SL). Original note: This inferred edge is not supported by experimental evidence; instead, there is a negative causal effect from HER3 to PRAS40."
1850,GSK3B,PTEN_2,negative,SL,direct,1,,"Duplicated from original edge (GSK3B -> PTEN, Model=SL). Original note: phosphorylation. GSK3B phosphorylates PTEN, yielding reduced PTEN stability / enhanced PTEN degradation."
1851,PTEN,PTEN_2,positive,SL,,0,necessary,Reaching a higher level necessitates achieving the lower level first.
1852,PTEN_2,PTEN,positive,SL,unsupported,-,,High-level should not activate low-level.
1853,PTEN_2,PTEN_2,positive,SL,indirect,2,,"PTEN promotes its own stability via a positive feedback loop mediated by AKT, FOXO, USP11."
1854,S6K,PTEN_2,positive,SL,unsupported,-,,"Duplicated from original edge (S6K -> PTEN, Model=SL). Original note: There is no evidence to support a positive effect. Instead, there is evidence of a negative effect: mTOR/S6K signaling promotes PTEN phosphorylation at Thr366, which can increase PTEN ubiquitination and degradation."
1855,CyclinD_2,RB,negative,SL,indirect,2,,"Duplicated from original edge (CyclinD -> RB, Model=SL). Original note: causal effect mediated by CYCLINDc"
1856,ERK_2,TSC2,negative,SL,direct in the network sense,1,,"Duplicated from original edge (ERK -> TSC2, Model=SL). Original note: ERK phosphorylates RSK, which phosphorylates TSC2 at inhibitory sites such as Ser1798. RSK is not in the network."
1857,EGFR,RAF1_2,positive,SL,indirect,2,,"Duplicated from original edge (EGFR -> RAF1, Model=SL). Original note: causal effect mediated by SOS/GRB and RAS"
1858,HER2,RAF1_2,positive,SL,indirect,2,,"Duplicated from original edge (HER2 -> RAF1, Model=SL). Original note: causal effect mediated by adaptor proteins and RAS"
1859,ERK,RAF1_2,negative,SL,direct,1,,"Duplicated from original edge (ERK -> RAF1, Model=SL). Original note: phosphorylation. ERK1/2 phosphorylates RAF1/C-RAF at inhibitory regulatory sites. These phosphorylations promote an inhbited RAF1 state."
1860,ERK_2,RAF1,negative,SL,direct,1,,"Duplicated from original edge (ERK -> RAF1, Model=SL). Original note: phosphorylation. ERK1/2 phosphorylates RAF1/C-RAF at inhibitory regulatory sites. These phosphorylations promote an inhbited RAF1 state."
1861,ERK_2,RAF1_2,negative,SL,direct,1,,"Duplicated from original edge (ERK -> RAF1, Model=SL). Original note: phosphorylation. ERK1/2 phosphorylates RAF1/C-RAF at inhibitory regulatory sites. These phosphorylations promote an inhbited RAF1 state."
1862,RPS6,RAF1_2,positive,SL,assumption,4,,"Duplicated from original edge (RPS6 -> RAF1, Model=SL). Original note: This inferred edge has no mechanistic or causal support. The RAF1->RPS6 direction is well supported."
1863,RAF1,RAF1_2,positive,SL,,0,necessary,Reaching a higher level necessitates achieving the lower level first.
1864,RAF1_2,RAF1,positive,SL,unsupported,-,,High-level should not activate low-level.
1865,RAF1_2,RAF1_2,positive,SL,unsupported,-,,This inferred self-activation is contradicted by the strongly supported RAF1 self-limiting circuit via MEK and ERK.
1866,p53,RAF1_2,negative,SL,unsupported,-,,"Duplicated from original edge (p53 -> RAF1, Model=SL). Original note: This inferred edge is contradicted by the observation that p53 can activate a RAF1-dependent MAPK response."
1867,PTEN_2,p53,positive,SL,direct,1,,"Duplicated from original edge (PTEN -> p53, Model=SL). Original note: protein-protein interaction. PTEN can physically bind p53 and stabilize it, increasing p53 half-life and transcriptional activity. PTEN also raises p53 indirectly through PI3K, AKT, MDM2."
1868,ERK_2,S6K,positive,SL,direct,1,,"Duplicated from original edge (ERK -> S6K, Model=SL). Original note: phosphorylation. ERK phosphorylates S6K, contributing to its activation"
1869,pertuzumab,HER2HER3c_2,negative,SL,direct,1,,"Duplicated from original edge (pertuzumab -> HER2HER3c, Model=SL). Original note: Replaces pertuzumab -| HER3. Pertuzumab inhibits HER3's ability to heterodimerize with HER2, thus it inhibits the HER2-HER3 complex."
1870,HER3_2,AKT,positive,SS,indirect,2,,"Duplicated from original edge (HER3 -> AKT, Model=SS). Original note: causal effect mediated by PI3K, others"
1871,HER3,HER3_2,positive,SS,,0,necessary,Reaching a higher level necessitates achieving the lower level first.
1872,HER3_2,HER3,positive,SS,unsupported,-,,High-level should not activate low-level.
1873,HER3_2,HER3_2,positive,SS,unsupported,-,,"HER3 does not self-regulate. This inferred positive self-regulation contradicted by strong evidence of a negative feedback loop mediated by PI3K, AKT, and FOXO3."
1874,NRG1,HER3_2,positive,SS,direct,1,,"Duplicated from original edge (NRG1 -> HER3, Model=SS). Original note: ligand-receptor binding"
1875,erlotinib,HER3_2,negative,SS,indirect,2,,"Duplicated from original edge (erlotinib -> HER3, Model=SS). Original note: causal effect mediated by HER2 or another kinase"
1876,pertuzumab,HER3_2,negative,SS,replaced,,,"Duplicated from original edge (pertuzumab -> HER3, Model=SS). Original note: Pertuzumab does not act on HER3 but on the HER2-HER3 complex, which is a separate node. This edge is replaced by a Pertuzumab-| HER2HER3c edge."
1877,HER3,ERK_2,positive,SS,indirect,2,,"Duplicated from original edge (HER3 -> ERK, Model=SS). Original note: causal effect mediated by HER2HER3c, RAS, RAF, MEK"
1878,HER3_2,ERK,positive,SS,indirect,2,,"Duplicated from original edge (HER3 -> ERK, Model=SS). Original note: causal effect mediated by HER2HER3c, RAS, RAF, MEK"
1879,HER3_2,ERK_2,positive,SS,indirect,2,,"Duplicated from original edge (HER3 -> ERK, Model=SS). Original note: causal effect mediated by HER2HER3c, RAS, RAF, MEK"
1880,ERK,ERK_2,positive,SS,,0,necessary,Reaching a higher level necessitates achieving the lower level first.
1881,ERK_2,ERK,positive,SS,unsupported,-,,High-level should not activate low-level.
1882,ERK_2,ERK_2,positive,SS,unsupported,-,,This proteomics- inferred self-regulation is contradicted by the fact that ERK activity is strongly self-limiting via negative feedback loops.
1883,MEK,ERK_2,positive,SS,direct,1,,"Duplicated from original edge (MEK -> ERK, Model=SS). Original note: phosphorylation. MEK1/2 directly binds and phosphorylates ERK1/2, activating its kinase activity."
1884,MEK_2,ERK,positive,SS,direct,1,,"Duplicated from original edge (MEK -> ERK, Model=SS). Original note: phosphorylation. MEK1/2 directly binds and phosphorylates ERK1/2, activating its kinase activity."
1885,MEK_2,ERK_2,positive,SS,direct,1,,"Duplicated from original edge (MEK -> ERK, Model=SS). Original note: phosphorylation. MEK1/2 directly binds and phosphorylates ERK1/2, activating its kinase activity."
1886,PDK1_pm,ERK_2,positive,SS,indirect,2,,"Duplicated from original edge (PDK1_pm -> ERK, Model=SS). Original note: causal effect mediated by MEK"
1887,EGFR,MEK_2,positive,SS,indirect,2,,"Duplicated from original edge (EGFR -> MEK, Model=SS). Original note: causal effect mediated by RAS, RAF"
1888,HER2,MEK_2,positive,SS,indirect,2,,"Duplicated from original edge (HER2 -> MEK, Model=SS). Original note: causal effect mediated by RAS, RAF"
1889,HER3,MEK_2,positive,SS,indirect,2,,"Duplicated from original edge (HER3 -> MEK, Model=SS). Original note: causal effect mediated by HER2HER3c, RAS, RAF"
1890,HER3_2,MEK,positive,SS,indirect,2,,"Duplicated from original edge (HER3 -> MEK, Model=SS). Original note: causal effect mediated by HER2HER3c, RAS, RAF"
1891,HER3_2,MEK_2,positive,SS,indirect,2,,"Duplicated from original edge (HER3 -> MEK, Model=SS). Original note: causal effect mediated by HER2HER3c, RAS, RAF"
1892,MEK,MEK_2,positive,SS,,0,necessary,Reaching a higher level necessitates achieving the lower level first.
1893,MEK_2,MEK,positive,SS,unsupported,-,,High-level should not activate low-level.
1894,MEK_2,MEK_2,positive,SS,unsupported,-,,This inferred self-regulation is contradicted by evidence of a negative feedback regulation of MEK: ERK phosphorylates MEK1 at Thr292; disruption of this feedback produces increased and prolonged MEK2 and ERK phosphorylation.
1895,HER3_2,PDK1_pm,positive,SS,indirect,2,,"Duplicated from original edge (HER3 -> PDK1_pm, Model=SS). Original note: causal effect mediated by PI3K, PIP3"
1896,HER3_2,PLCg,positive,SS,assumption,4,,"Duplicated from original edge (HER3 -> PLCg, Model=SS). Original note: There is evidence for binding but no evidence of a functional effect. Any indirect relationship would need to involve HER2, but there is no causal or mechanistic evidence."
1897,ERK_2,S6K,positive,SS,direct,1,,"Duplicated from original edge (ERK -> S6K, Model=SS). Original note: phosphorylation. ERK phosphorylates S6K, contributing to its activation."
1898,pertuzumab,HER2HER3c_2,negative,SS,direct,1,,"Duplicated from original edge (pertuzumab -> HER2HER3c, Model=SS). Original note: Replaces pertuzumab -| HER3. Pertuzumab inhibits HER3's ability to heterodimerize with HER2, thus it inhibits the HER2-HER3 complex."
1899,IGF1R_2,AKT,positive,TGEN,indirect,2,,"Duplicated from original edge (IGF1R -> AKT, Model=TGEN). Original note: causal effect mediated by IRS1, PI3K, others"
1900,PIP3_2,AKT,positive,TGEN,direct,1,,"Duplicated from original edge (PIP3 -> AKT, Model=TGEN). Original note: protein-protein interaction. PIP3 directly binds the PH domain of AKT, recruiting AKT to the plasma membrane and inducing conformational changes that expose its activating phosphorylation sites"
1901,ERK_2,BAD,negative,TGEN,direct in the network sense,1,,"Duplicated from original edge (ERK -> BAD, Model=TGEN). Original note: phosphorylation. ERK1/2 phosphorylate RSK, which phosphorylates BAD, which leads to its sequestration by 14-3-3 proteins, making it unable to inhibit BCLXL, BCL2. RSK is not in the network."
1902,ERK_2,BCL2,positive,TGEN,direct,1,,"Duplicated from original edge (ERK -> BCL2, Model=TGEN). Original note: phosphorylation. ERK1/2 phosphorylate BCL2 at Ser70. This phosphorylation enhances BCL2's anti-apoptotic function."
1903,ERK_2,CASP8,negative,TGEN,direct,1,,"Duplicated from original edge (ERK -> CASP8, Model=TGEN). Original note: phosphorylation. Active ERK1/2 directly phosphorylates procaspase-8 at Ser387, and this phosphorylation inhibits caspase-8 activation/processing."
1904,ERK_2,CASP9,negative,TGEN,direct,1,,"Duplicated from original edge (ERK -> CASP9, Model=TGEN). Original note: phosphorylation. ERK1/2 directly binds and phosphorylates caspase-9 at Thr125, inhibiting its activation/activity."
1905,MYC_2,CDKN2A,negative,TGEN,indirect,2,,"Duplicated from original edge (MYC -> CDKN2A, Model=TGEN). Original note: causal effect. MYC can suppress the p16/RB senescence program in proliferating cells through several mechanisms, and MYC loss can lead to increased p16 expression and senescence."
1906,PTEN_2,CREB1,negative,TGEN,direct,1,,"Duplicated from original edge (PTEN -> CREB1, Model=TGEN). Original note: dephosphorylation. Nuclear PTEN dephosphorylates CREB at Ser133, which decreases its transcriptional activity."
1907,CDKN2A,CYCLINDc_2,negative,TGEN,direct,1,,"Duplicated from original edge (CDKN2A -> CYCLINDc, Model=TGEN). Original note: protein-protein interaction. CDKN2A (p16INK4A)  binds CDK4 and CDK6 and prevents/antagonizes formation of functional Cyclin D–CDK4/6 complexes."
1908,ESR1,CYCLINDc_2,positive,TGEN,indirect,2,,"Duplicated from original edge (ESR1 -> CYCLINDc, Model=TGEN). Original note: Estrogen-activated ERα promotes CCND1 transcription; this allows increased CYCLINDc formation."
1909,ESR1_2,CYCLINDc,positive,TGEN,indirect,2,,"Duplicated from original edge (ESR1 -> CYCLINDc, Model=TGEN). Original note: Estrogen-activated ERα promotes CCND1 transcription; this allows increased CYCLINDc formation."
1910,ESR1_2,CYCLINDc_2,positive,TGEN,indirect,2,,"Duplicated from original edge (ESR1 -> CYCLINDc, Model=TGEN). Original note: Estrogen-activated ERα promotes CCND1 transcription; this allows increased CYCLINDc formation."
1911,GSK3B,CYCLINDc_2,negative,TGEN,indirect,2,,"Duplicated from original edge (GSK3B -> CYCLINDc, Model=TGEN). Original note: causal effect. GSK3B promotes the nuclear export and degradation of CyclinD1, thus less cyclin-CDK complex CYCLINDc can be formed."
1912,MYC,CYCLINDc_2,positive,TGEN,indirect,2,,"Duplicated from original edge (MYC -> CYCLINDc, Model=TGEN). Original note: causal effect. c-MYC activates CDK4 transcription, thus leading to more CYCLINDc formation."
1913,MYC_2,CYCLINDc,positive,TGEN,indirect,2,,"Duplicated from original edge (MYC -> CYCLINDc, Model=TGEN). Original note: causal effect. c-MYC activates CDK4 transcription, thus leading to more CYCLINDc formation."
1914,MYC_2,CYCLINDc_2,positive,TGEN,indirect,2,,"Duplicated from original edge (MYC -> CYCLINDc, Model=TGEN). Original note: causal effect. c-MYC activates CDK4 transcription, thus leading to more CYCLINDc formation."
1915,p21,CYCLINDc_2,negative,TGEN,unsupported,-,,"Duplicated from original edge (p21 -> CYCLINDc, Model=TGEN). Original note: This assumed edge is contradicted by evidence that p21 (and p27) can serve as an assembly factor for Cyclin D–CDK4/6 and facilitate nuclear localization.  p21-bound Cyclin D–CDK complexes can retain their kinase activity."
1916,TCF7L2,CYCLINDc_2,positive,TGEN,indirect,2,,"Duplicated from original edge (TCF7L2 -> CYCLINDc, Model=TGEN). Original note: Causal effect mediated by β-catenin/TCF complexes activating CCND1 transcription, which then yields more CYCLINDc."
1917,TEAD1,CYCLINDc_2,positive,TGEN,indirect,2,,"Duplicated from original edge (TEAD1 -> CYCLINDc, Model=TGEN). Original note: causal effect. TEAD-containing YAP/TAZ transcriptional complex binds CCND1 regulatory DNA, leading to increased CCND1 transcription, which then allows more CYCLINDc complex formation."
1918,RB,E2F_2,negative,TGEN,direct,1,,"Duplicated from original edge (RB -> E2F, Model=TGEN). Original note: protein-protein interaction. Hypophosphorylated RB physically binds activating E2Fs, especially E2F1–3, through its pocket and C-terminal domains and directly suppresses their transcriptional activity."
1919,RB,E2F_3,negative,TGEN,direct,1,,"Duplicated from original edge (RB -> E2F, Model=TGEN). Original note: protein-protein interaction. Hypophosphorylated RB physically binds activating E2Fs, especially E2F1–3, through its pocket and C-terminal domains and directly suppresses their transcriptional activity."
1920,HER3_2,EGFR,positive,TGEN,direct,1,,"Duplicated from original edge (HER3 -> EGFR, Model=TGEN). Original note: protein-protein interaction; heterodimerization activates EGFR"
1921,MEK_2,EGFR,negative,TGEN,indirect,2,,"Duplicated from original edge (MEK -> EGFR, Model=TGEN). Original note: causal effect mediated by ERK"
1922,MEK,ERK_2,positive,TGEN,direct,1,,"Duplicated from original edge (MEK -> ERK, Model=TGEN). Original note: phosphorylation. MEK1/2 directly binds and phosphorylates ERK1/2, activating its kinase activity."
1923,MEK_2,ERK,positive,TGEN,direct,1,,"Duplicated from original edge (MEK -> ERK, Model=TGEN). Original note: phosphorylation. MEK1/2 directly binds and phosphorylates ERK1/2, activating its kinase activity."
1924,MEK_2,ERK_2,positive,TGEN,direct,1,,"Duplicated from original edge (MEK -> ERK, Model=TGEN). Original note: phosphorylation. MEK1/2 directly binds and phosphorylates ERK1/2, activating its kinase activity."
1925,AKT,ESR1_2,positive,TGEN,direct,1,,"Duplicated from original edge (AKT -> ESR1, Model=TGEN). Original note: phosphorylation. Activated AKT phosphorylates ERα (ESR1 protein) at Ser167, and this phosphorylation increases ERα transcriptional activity."
1926,ES,ESR1_2,positive,TGEN,direct,1,,"Duplicated from original edge (ES -> ESR1, Model=TGEN). Original note: ligand-receptor binding"
1927,FOXO3,ESR1_2,positive,TGEN,direct,1,,"Duplicated from original edge (FOXO3 -> ESR1, Model=TGEN). Original note: regulation of transcription. FOXO3a directly binds regulatory sites in the ESR1 (ERα) promoter and increases ESR1 transcription"
1928,KMT2D,ESR1_2,positive,TGEN,unsupported,-,,"Duplicated from original edge (KMT2D -> ESR1, Model=TGEN). Original note: KMT2D helps establish chromatin conditions that permit recruitment/occupancy of ERα, but it does not affect ESR1 itself."
1929,PGR,ESR1_2,positive,TGEN,unsupported,-,,"Duplicated from original edge (PGR -> ESR1, Model=TGEN). Original note: Only the ligand-free progesterone receptor has a positive effect on ESR1. The ligand-bound PGR binds ESR1 and redirects ERα chromatin binding and transcriptional activity."
1930,ERK_2,GSK3B,negative,TGEN,direct in the network sense,1,,"Duplicated from original edge (ERK -> GSK3B, Model=TGEN). Original note: phosphorylation. ERK binds GSK3β and phosphorylates it and primes it for subsequent Ser9 phosphorylation by RSK, which then inhibits GSK3β activity. RSK itself is activated by ERK. RSK is not part of the model."
1931,HER3_2,HER2,positive,TGEN,replaced,,,"Duplicated from original edge (HER3 -> HER2, Model=TGEN). Original note: The HER2-HER3 heterodimer formation is represented with a separate HER2HER3c node. HER3 does not have any effect on HER2 outside of heterodimer formation. This edge is replaced by a HER3->HER2HER3c edge."
1932,HER2,HER3_2,positive,TGEN,replaced,,,"Duplicated from original edge (HER2 -> HER3, Model=TGEN). Original note: The effect of HER2 on HER3 is through HER2-HER3 heterodimer formation, which is represented by the HER2HER3c node. This edge is replaced by a HER2->HER2HER3c edge."
1933,NRG1,HER3_2,positive,TGEN,direct,1,,"Duplicated from original edge (NRG1 -> HER3, Model=TGEN). Original note: ligand-receptor binding"
1934,PI3K_2,HRAS,positive,TGEN,indirect,2,,"Duplicated from original edge (PI3K -> HRAS, Model=TGEN). Original note: causal effect likely mediated by PIP3 and a PIP3-responsive Ras regulatory complex/GEF"
1935,ESR1,IGF1R_2,positive,TGEN,indirect,2,,"Duplicated from original edge (ESR1 -> IGF1R, Model=TGEN). Original note: ERα binds regulatory regions of the IGF1R gene, often together with other transcription factors/cofactors. Estrogen/ER signaling increases IGF1R expression in ER-positive breast-cancer cells. Because there is a separate node denoting ER transcription regulatory activity, this edge is categorized indirect."
1936,ESR1_2,IGF1R,positive,TGEN,indirect,2,,"Duplicated from original edge (ESR1 -> IGF1R, Model=TGEN). Original note: ERα binds regulatory regions of the IGF1R gene, often together with other transcription factors/cofactors. Estrogen/ER signaling increases IGF1R expression in ER-positive breast-cancer cells. Because there is a separate node denoting ER transcription regulatory activity, this edge is categorized indirect."
1937,ESR1_2,IGF1R_2,positive,TGEN,indirect,2,,"Duplicated from original edge (ESR1 -> IGF1R, Model=TGEN). Original note: ERα binds regulatory regions of the IGF1R gene, often together with other transcription factors/cofactors. Estrogen/ER signaling increases IGF1R expression in ER-positive breast-cancer cells. Because there is a separate node denoting ER transcription regulatory activity, this edge is categorized indirect."
1938,FOXO3,IGF1R_2,positive,TGEN,indirect,2,,"Duplicated from original edge (FOXO3 -> IGF1R, Model=TGEN). Original note: causal effect. Activated FOXO3 increases IGF1R mRNA and protein expression, and FOXO knockdown decreases IGF1R expression. The exact mechanism is not known."
1939,IGF1,IGF1R_2,positive,TGEN,direct,1,,"Duplicated from original edge (IGF1 -> IGF1R, Model=TGEN). Original note: ligand-receptor binding. "
1940,INS,IGF1R_2,positive,TGEN,direct,1,,"Duplicated from original edge (INS -> IGF1R, Model=TGEN). Original note: ligand-receptor binding. Insulin can directly bind IGF1R and weakly activate its intrinsic tyrosine kinase."
1941,SRC,IGF1R_2,positive,TGEN,direct,1,,"Duplicated from original edge (SRC -> IGF1R, Model=TGEN). Original note: phosphorylation. SRC can induce ligand-independent IGF1R phosphorylation and activation."
1942,IGF1R_2,IRS1,positive,TGEN,direct,1,,"Duplicated from original edge (IGF1R -> IRS1, Model=TGEN). Original note: phosphorylation. Activated IGF1R physically recruits IRS1 and directly phosphorylates it on tyrosine residues, generating docking sites for SH2-domain-containing signaling proteins."
1943,ERK_2,JUN,positive,TGEN,indirect,2,,"Duplicated from original edge (ERK -> JUN, Model=TGEN). Original note: causal effect on JUN stability mediated by GSK3B, there also is an indirect effect on JUN transcription."
1944,ERK_2,LCK,positive,TGEN,unsupported,-,,"Duplicated from original edge (ERK -> LCK, Model=TGEN). Original note: ERK phosphorylate LCK at Ser59, but the literature describes this phosphorylation as inhibitory/modulatory, not activating."
1945,ERK_2,MCL1,positive,TGEN,direct,1,,"Duplicated from original edge (ERK -> MCL1, Model=TGEN). Original note: phosphorylation. ERK1/2 phosphorylates MCL1, which stabilizes MCL1 and increases its anti-apoptotic activity. ERK1/2 also has indirect effects on MCL1 transcription and translation."
1946,RAF1,MEK_2,positive,TGEN,direct,1,,"Duplicated from original edge (RAF1 -> MEK, Model=TGEN). Original note: phosphorylation. RAF1 (c-RAF) directly phosphorylates MEK1/2 (MAP2K1/2) on their activating serine residues. This activates MEK kinase activity."
1947,RAF1_2,MEK,positive,TGEN,direct,1,,"Duplicated from original edge (RAF1 -> MEK, Model=TGEN). Original note: phosphorylation. RAF1 (c-RAF) directly phosphorylates MEK1/2 (MAP2K1/2) on their activating serine residues. This activates MEK kinase activity."
1948,RAF1_2,MEK_2,positive,TGEN,direct,1,,"Duplicated from original edge (RAF1 -> MEK, Model=TGEN). Original note: phosphorylation. RAF1 (c-RAF) directly phosphorylates MEK1/2 (MAP2K1/2) on their activating serine residues. This activates MEK kinase activity."
1949,PIP3_2,mTORC2_pm,positive,TGEN,direct,1,,"Duplicated from original edge (PIP3 -> mTORC2_pm, Model=TGEN). Original note: protein-protein interaction. The SIN1/MAPKAP1 subunit of mTORC2 contains a PH domain that directly binds PIP3, recruiting mTORC2 to the plasma membrane and allowing it to phosphorylate substrates such as AKT. "
1950,CTNNB1,MYC_2,positive,TGEN,direct,1,,"Duplicated from original edge (CTNNB1 -> MYC, Model=TGEN). Original note: regulation of transcription. In canonical Wnt signaling, nuclear β-catenin forms a transcriptional complex with TCF/LEF factors, and this complex directly regulates MYC transcription through TCF-binding regulatory elements."
1951,EIF4,MYC_2,positive,TGEN,indirect,2,,"Duplicated from original edge (EIF4 -> MYC, Model=TGEN). Original note: causal effect mediated by the node Translation"
1952,ERK,MYC_2,positive,TGEN,direct,1,,"Duplicated from original edge (ERK -> MYC, Model=TGEN). Original note: phosphorylation. ERK1/2 phosphorylates MYC, which increases MYC protein stability and can enhance its transcriptional activity."
1953,ERK_2,MYC,positive,TGEN,direct,1,,"Duplicated from original edge (ERK -> MYC, Model=TGEN). Original note: phosphorylation. ERK1/2 phosphorylates MYC, which increases MYC protein stability and can enhance its transcriptional activity."
1954,ERK_2,MYC_2,positive,TGEN,direct,1,,"Duplicated from original edge (ERK -> MYC, Model=TGEN). Original note: phosphorylation. ERK1/2 phosphorylates MYC, which increases MYC protein stability and can enhance its transcriptional activity."
1955,ESR1,MYC_2,positive,TGEN,indirect,2,,"Duplicated from original edge (ESR1 -> MYC, Model=TGEN). Original note: ERα occupies regulatory elements associated with the MYC locus and induces MYC transcription. Because there is a separate node ER_transcription, this edge is classified as indirect."
1956,ESR1_2,MYC,positive,TGEN,indirect,2,,"Duplicated from original edge (ESR1 -> MYC, Model=TGEN). Original note: ERα occupies regulatory elements associated with the MYC locus and induces MYC transcription. Because there is a separate node ER_transcription, this edge is classified as indirect."
1957,ESR1_2,MYC_2,positive,TGEN,indirect,2,,"Duplicated from original edge (ESR1 -> MYC, Model=TGEN). Original note: ERα occupies regulatory elements associated with the MYC locus and induces MYC transcription. Because there is a separate node ER_transcription, this edge is classified as indirect."
1958,GSK3B,MYC_2,negative,TGEN,direct,1,,"Duplicated from original edge (GSK3B -> MYC, Model=TGEN). Original note: phosphorylation. GSK3B directly phosphorylates MYC; phosphorylated Thr58 is recognized through the FBXW7 ubiquitin-ligase pathway, leading to ubiquitination and proteasomal degradation of MYC."
1959,PIM,MYC_2,positive,TGEN,direct,1,,"Duplicated from original edge (PIM -> MYC, Model=TGEN). Original note: phosphorylation. PIM kinases, especially PIM1, phosphorylate MYC, which increases MYC protein stability and transcriptional activity."
1960,STAT3,MYC_2,positive,TGEN,direct,1,,"Duplicated from original edge (STAT3 -> MYC, Model=TGEN). Original note: regulation of transcription. STAT3 binds a regulatory region of the MYC promoter overlapping an E2F site and promotes MYC transcription."
1961,ERK_2,p21,negative,TGEN,indirect,2,,"Duplicated from original edge (ERK -> p21, Model=TGEN). Original note: causal effect, mediated by MYC and possibly alternative mediators as well"
1962,MYC_2,p21,negative,TGEN,indirect,2,,"Duplicated from original edge (MYC -> p21, Model=TGEN). Original note: causal effect. MYC interacts with transcription factors already associated with the CDKN1A (p21) promoter, particularly MIZ1 (ZBTB17), represssing CDKN1A transcription. As there is a separate p21_T node, this effect on the protein level is indirect."
1963,IGF1R_2,PDK1_pm,positive,TGEN,indirect,2,,"Duplicated from original edge (IGF1R -> PDK1_pm, Model=TGEN). Original note: causal effect mediated by PI3K, PIP3"
1964,PIP3_2,PDK1_pm,positive,TGEN,direct,1,,"Duplicated from original edge (PIP3 -> PDK1_pm, Model=TGEN). Original note: protein-protein interaction. PIP3 recruits PDK1 to the plasma membrane."
1965,ERK_2,PGR,negative,TGEN,unsupported,-,,"Duplicated from original edge (ERK -> PGR, Model=TGEN). Original note: ERK phosphorylates of PRB at Ser294, and this makes PR more transcriptionally active, more nuclear, and more responsive to ligand, even though it also accelerates ligand-dependent receptor turnover."
1966,ESR1_2,PGR,negative,TGEN,unsupported,-,,"Duplicated from original edge (ESR1 -> PGR, Model=TGEN). Original note: Contrary to this assumption, ESR1 upregulates the transcription of PGR."
1967,EGFR,PI3K_2,positive,TGEN,direct,1,,"Duplicated from original edge (EGFR -> PI3K, Model=TGEN). Original note: protein-protein interaction. Activated EGFR recruits the p85 regulatory subunit of class IA PI3K into a receptor-associated complex"
1968,ESR1,PI3K_2,positive,TGEN,direct,1,,"Duplicated from original edge (ESR1 -> PI3K, Model=TGEN). Original note: protein-protein interaction. The estrogen receptor ERα (ESR1) physically associates with the p85 regulatory subunit of PI3K."
