Regulator,Target,Sign in BBM,Model,Sign,Classification,Confidence rank,Constraint,Notes
PDK1_pm,AKT,positive,Z17,positive,direct,1,regulates,plasma-membrane-bound PDK1 directly phosphorylates AKT at Thr308 in its activation loop
PIP3,AKT,positive,Z17,positive,direct,1,,"PIP3 directly binds the PH domain of AKT, recruiting AKT to the plasma membrane and inducing conformational changes that expose its activating phosphorylation sites"
PIP3_2,AKT,positive,Z17,positive,direct,1,,"PIP3 directly binds the PH domain of AKT, recruiting AKT to the plasma membrane and inducing conformational changes that expose its activating phosphorylation sites. We consider the confidence the same as that of the PIP3->AKT edge."
mTORC2_pm,AKT,positive,Z17,positive,direct,1,regulates,membrane-associated mTORC2 directly phosphorylates AKT
Apoptosis,Apoptosis,positive,Z17,positive,assumption,4,,This assumed self-regulation reflects the irreversible nature of the commitment to apoptosis.
BAD,Apoptosis,positive,Z17,positive,indirect,2,,"causal effect mediated by CYCS, CASP9, CASP3"
BCL2,Apoptosis,negative,Z17,negative ,indirect,2,,"causal effect mediated by BAK/BAX, CYCS, CASP9, CASP3"
BIM,Apoptosis,positive,Z17,positive,indirect,2,,"causal effect mediated by BAK/BAX, CYCS, CASP9, CASP3"
MCL1,Apoptosis,negative,Z17,negative ,indirect,2,,"causal effect mediated by BAK/BAX, CYCS, CASP9, CASP3"
Apoptosis_2,Apoptosis_2,positive,Z17,positive,assumption,4,,This assumed self-regulation reflects the irreversible nature of the commitment to apoptosis.
BAD,Apoptosis_2,positive,Z17,positive,indirect,2,,"causal effect mediated by CYCS, CASP9, CASP3; we consider that the confidence ranking is the same as the BAD->Apoptosis edge."
BCL2,Apoptosis_2,negative,Z17,negative,indirect,2,,"causal effect mediated by BAK/BAX, CYCS, CASP9, CASP3; we consider the same confidence ranking as that of BCL2->Apoptosis."
BIM,Apoptosis_2,positive,Z17,positive,indirect,2,,"causal effect mediated by BAK/BAX, CYCS, CASP9, CASP3; we consider the same confidence ranking as that of BIM->Apoptosis."
MCL1,Apoptosis_2,negative,Z17,negative,indirect,2,,"causal effect mediated by BAK/BAX, CYCS, CASP9, CASP3. We consider that the confidence rank is the same as that of the MCL1->Apoptosis edge."
Apoptosis_3,Apoptosis_3,positive,Z17,positive,assumption,4,,This assumed self-regulation reflects the irreversible nature of the commitment to apoptosis.
BAD,Apoptosis_3,positive,Z17,positive,indirect,2,,"causal effect mediated by CYCS, CASP9, CASP3; we consider that the confidence ranking is the same as the BAD->Apoptosis edge."
BCL2,Apoptosis_3,negative,Z17,negative,indirect,2,,"causal effect mediated by BAK/BAX, CYCS, CASP9, CASP3; we consider the same confidence ranking as that of BCL2->Apoptosis."
BIM,Apoptosis_3,positive,Z17,positive,indirect,2,,"causal effect mediated by BAK/BAX, CYCS, CASP9, CASP3; we consider the same confidence ranking as that of BIM->Apoptosis."
MCL1,Apoptosis_3,negative,Z17,negative ,indirect,2,,"causal effect mediated by BAK/BAX, CYCS, CASP9, CASP3. We consider that the confidence rank is the same as that of the MCL1->Apoptosis edge."
AKT,BAD,negative,Z17,negative,direct ,1,regulates,"AKT phosphorylates BAD, which leads to its sequestration by 14-3-3 proteins, making it unable to inhibit BCLXL"
MAPK,BAD,negative,Z17,,,,,
MAPK_2,BAD,negative,Z17,,,,,
PIM,BAD,negative,Z17,negative,direct,1,,"PIM kinases phosphorylate BAD. This promotes BAD's sequestration by 14-3-3 proteins, suppressing BAD's pro-apoptotic function."
BCL2_T,BCL2,positive,Z17,positive,direct,1,necessary,protein translation
ER_transcription_2,BCL2,positive,Z17,,,,,
BIM_T,BIM,positive,Z17,positive,direct,1,protein translation,
FOXO3,BIM,positive,Z17,positive,direct,,,FOXO3 binds conserved forkhead-response elements in the promoter of  BCL2L11 (the gene encoding BIM) and stimulates its transcription.
MAPK_2,BIM,negative,Z17,,,,,
Palbociclib,CDK46,negative,Z17,,,,,
E2F_2,E2F,positive,Z17,,,,,
E2F_3,E2F,positive,Z17,,,,,
pRB,E2F,positive,Z17,,,,,
E2F,E2F_2,positive,Z17,,,,,
E2F_3,E2F_2,positive,Z17,,,,,
pRB_2,E2F_2,positive,Z17,,,,,
E2F,E2F_3,positive,Z17,,,,,
E2F_2,E2F_3,positive,Z17,,,,,
E2F_3,E2F_3,positive,Z17,,,,,
pRB_2,E2F_3,positive,Z17,,,,,
pRB_3,E2F_3,positive,Z17,,,,,
mTORC1,EIF4,positive,Z17,,,,,
ER,ER_transcription,positive,Z17,,,,,
ER_transcription_2,ER_transcription,positive,Z17,,,,,
ESR1,ER_transcription,positive,Z17,,,,,
ESR1_2,ER_transcription,positive,Z17,,,,,
ER,ER_transcription_2,positive,Z17,,,,,
ER_transcription,ER_transcription_2,positive,Z17,,,,,
ESR1_2,ER_transcription_2,positive,Z17,,,,,
FOXA1,ER_transcription_2,positive,Z17,,,,,
KMT2D,ER_transcription_2,positive,Z17,,,,,
PBX1,ER_transcription_2,positive,Z17,,,,,
ER,ESR1,positive,Z17,,,,,
ESR1_2,ESR1,positive,Z17,positive,,,,
FOXO3,ESR1,positive,Z17,positive,direct,1,regulates,regulation of transcription. FOXO3a directly binds regulatory sites in the ESR1 (ERα) promoter and increases ESR1 transcription
Fulvestrant,ESR1,negative,Z17,negative,direct,1,regulates,Fulvestrant is a selective estrogen receptor degrader/downregulator (SERD). It directly binds ERα (ESR1 protein) with high affinity.
ER,ESR1_2,positive,Z17,,,,,
ESR1,ESR1_2,positive,Z17,positive,,0,necessary,reaching a higher level necessitates achieving the lower level first
FOXO3,ESR1_2,positive,Z17,positive,direct,1,regulates,regulation of transcription. FOXO3a directly binds regulatory sites in the ESR1 (ERα) promoter and increases ESR1 transcription. We assume the classification of the FOXO3->ESR1 edge applies to ESR1_2 as well.
Fulvestrant,ESR1_2,negative,Z17,negative,direct,1,regulates,Fulvestrant is a selective estrogen receptor degrader/downregulator (SERD). It directly binds ERα (ESR1 protein) with high affinity.
FOXO3,FOXA1,positive,Z17,,,,,
AKT,FOXO3,negative,Z17,negative,direct,1,regulates,"AKT phosphorylates FOXO1 at several regulatory residues. These promote binding to 14-3-3 proteins and retention in the cytoplasm, which decreases FOXO1 transcriptional activity"
FOXO3_Ub,FOXO3,negative,Z17,,,,,
PIM,FOXO3,negative,Z17,negative ,direct,1,,PIM kinases phosphorylate FOXO3 (FOXO3a). This phosphorylation suppresses FOXO3 transcriptional activity by promoting its nuclear exclusion and association with 14-3-3 proteins.
SGK1,FOXO3,negative,Z17,,,,,
MAPK_2,FOXO3_Ub,positive,Z17,,,,,
HER2,HER2HER3c,positive,Z17,positive,,0,necessary,This edge represents HER2's participation in the HER2HER3c heterodimer complex.
HER2HER3c_2,HER2HER3c,positive,Z17,positive,unsupported,,,This edge is an artifact of the representation of multi-level variables
HER3,HER2HER3c,positive,Z17,,,,,
HER3_2,HER2HER3c,positive,Z17,,,,,
Neratinib,HER2HER3c,negative,Z17,negative ,direct,1,regulates,Neratinib is an irreversible pan-HER tyrosine kinase inhibitor that covalently binds the kinase domains of HER2 and EGFR.
HER2,HER2HER3c_2,positive,Z17,positive,,0,necessary,HER2's participation in the HER2HER3c heterodimer complex; we consider that the confidence ranking applies to this edge as well.
HER2HER3c,HER2HER3c_2,positive,Z17,positive,,0,necessary,Reaching a higher level necessitates reaching the lower level first
HER3,HER2HER3c_2,positive,Z17,,,,,
HER3_2,HER2HER3c_2,positive,Z17,,,,,
MAPK_2,HER2HER3c_2,negative,Z17,,,,,
Neratinib,HER2HER3c_2,negative,Z17,negative,direct,1,regulates,Neratinib is an irreversible pan-HER tyrosine kinase inhibitor that covalently binds the kinase domains of HER2 and EGFR. We consider that the confidence rank is the same as the Neratinib-| HER2HER3c edge
FOXO3,HER3,positive,Z17,positive,direct,1,regulates,regulation of transcription. FOXO3 binds regulatory regions of ERBB3/HER3 and leads to increased HER3 transcription
HER3_2,HER3,positive,Z17,,,,,
HER3_T,HER3,positive,Z17,,,,,
FOXO3,HER3_2,positive,Z17,positive,direct,1,regulates,regulation of transcription. FOXO3 binds regulatory regions of ERBB3/HER3 and leads to increased HER3 transcription. We assume that the confidence ranking of this edge is the same as that of FOXO3->HER3.
HER3,HER3_2,positive,Z17,,,,,
FOXO3,IGF1R,positive,Z17,positive,indirect,2,,"There is causal evidence that activated FOXO3 increases IGF1R mRNA and protein expression, and FOXO knockdown decreases IGF1R expression. The exact mechanism is not known."
HER2,IGF1R,positive,Z17,positive,assumption,4,,This assumed edge is consistent with observed higher IGF1R signaling in trastuzumab-resistant cells
IGF1R_2,IGF1R,positive,Z17,,,,,
IGF1R_T,IGF1R,positive,Z17,,,,,
FOXO3,IGF1R_2,positive,Z17,positive,indirect,2,,"There is causal evidence that activated FOXO3 increases IGF1R mRNA and protein expression, and FOXO knockdown decreases IGF1R expression. The exact mechanism is not known. We assume that the confidence rank of the FOXO3->IGF1 edge applies to IGF1R_2 as well."
HER2,IGF1R_2,positive,Z17,positive,assumption,4,,This assumed edge is consistent with observed higher IGF1R signaling in trastuzumab-resistant cells
IGF1R,IGF1R_2,positive,Z17,,,,,
IGF1R_T,IGF1R_2,positive,Z17,,,,,
S6K,IGF1R_2,negative,Z17,,,,,
AKT,KMT2D,negative,Z17,negative ,direct,1,regulates,AKT phosphorylates KMT2D at Ser1331; this reduces KMT2D chromatin recruitment/function and consequently suppresses KMT2D-dependent ER transcriptional activity.
MAPK_2,MAPK,positive,Z17,,,,,
PIP3,MAPK,positive,Z17,,,,,
PIP3_2,MAPK,positive,Z17,,,,,
RAS,MAPK,positive,Z17,,,,,
RAS_2,MAPK,positive,Z17,,,,,
RAS_3,MAPK,positive,Z17,,,,,
Trametinib,MAPK,negative,Z17,,,,,
MAPK,MAPK_2,positive,Z17,,,,,
PIP3,MAPK_2,positive,Z17,,,,,
PIP3_2,MAPK_2,positive,Z17,,,,,
RAS_2,MAPK_2,positive,Z17,,,,,
RAS_3,MAPK_2,positive,Z17,,,,,
Trametinib,MAPK_2,negative,Z17,,,,,
Translation,MCL1,positive,Z17,positive,direct,1,,"MCL1 is translated in a cap-dependent manner. Because MCL1 has a short half-life, translation is an important contributor to MCL1 protein abundance."
ER_transcription,MYC,positive,Z17,,,,,
MYC_2,MYC,positive,Z17,positive ,unsupported,,,This edge is an artifact of the Boolean representation of multi-level nodes.
ER_transcription_2,MYC_2,positive,Z17,,,,,
MYC,MYC_2,positive,Z17,positive ,,0,,Reaching a higher level necessitates reaching the lower level first.
PIP3,PDK1_pm,positive,Z17,,,,,
PIP3_2,PDK1_pm,positive,Z17,,,,,
Alpelisib,PI3K,negative,Z17,,,,,
HER2HER3c,PI3K,positive,Z17,positive,,,,Phosphorylated HER3 within the HER2–HER3 complex directly recruits PI3K by binding to its p85 subunit.
HER2HER3c_2,PI3K,positive,Z17,positive,direct,1,regulates,Phosphorylated HER3 within the HER2–HER3 complex directly recruits PI3K by binding to its p85 subunit. We consider that the confidence ranking of the edge with the lower-level variable applies.
IGF1R,PI3K,positive,Z17,,,,,
IGF1R_2,PI3K,positive,Z17,,,,,
PI3K_2,PI3K,positive,Z17,positive ,unsupported,,,This edge is an artifact of the Boolean representation of multi-level nodes.
RAS,PI3K,positive,Z17,,,,,
RAS_2,PI3K,positive,Z17,,,,,
RAS_3,PI3K,positive,Z17,,,,,
Alpelisib,PI3K_2,negative,Z17,,,,,
HER2HER3c_2,PI3K_2,positive,Z17,positive,direct,1,regulates,Phosphorylated HER3 within the HER2–HER3 complex directly recruits PI3K by binding to its p85 subunit. We consider that the confidence ranking of the edge with the lower-level variable applies.
PI3K,PI3K_2,positive,Z17,positive ,,0,necessary,Reaching a higher level necessitates reaching the lower level first.
PI3K,PIP3,positive,Z17,positive ,direct,1,regulates,PI3K catalyzes the reaction that produces PIP3.
PI3K_2,PIP3,positive,Z17,positive ,direct,1,regulates,PI3K catalyzes the reaction that produces PIP3.
PIP3_2,PIP3,positive,Z17,,,,,
PTEN,PIP3,negative,Z17,negative,direct,1,,PTEN dephosphorylates PIP3
PI3K_2,PIP3_2,positive,Z17,positive,direct,1,regulates,PI3K catalyzes the reaction that produces PIP3.
PIP3,PIP3_2,positive,Z17,,,,,
PTEN,PIP3_2,negative,Z17,negative,direct,1,,PTEN dephosphorylates PIP3. We consider that the confidence ranking is the same as that of the PTEN-| PIP3 edge.
AKT,PRAS40,negative,Z17,,,,,
PIM,PRAS40,negative,Z17,,,,,
E2F,Proliferation,positive,Z17,,,,,
E2F_2,Proliferation,positive,Z17,,,,,
E2F_3,Proliferation,positive,Z17,,,,,
Translation,Proliferation,positive,Z17,positive,unsupported,,,This assumed effect between the two process nodes was replaced by a refined assumption in the Z21 model.
E2F_2,Proliferation_2,positive,Z17,,,,,
E2F_3,Proliferation_2,positive,Z17,,,,,
Translation,Proliferation_2,positive,Z17,positive,unsupported,,,This assumed effect between the two process nodes was replaced by a refined assumption in the Z21 model.
E2F_2,Proliferation_3,positive,Z17,,,,,
E2F_3,Proliferation_3,positive,Z17,,,,,
Translation,Proliferation_3,positive,Z17,positive,unsupported,,,This assumed effect between the two process nodes was replaced by a refined assumption in the Z21 model.
E2F_3,Proliferation_4,positive,Z17,,,,,
Translation,Proliferation_4,positive,Z17,positive,unsupported,,,This assumed effect between the two process nodes was replaced by a refined assumption in the Z21 model.
HER2HER3c,RAS,positive,Z17,positive,,,,
HER2HER3c_2,RAS,positive,Z17,,,,,
IGF1R,RAS,positive,Z17,,,,,
IGF1R_2,RAS,positive,Z17,,,,,
RAS_2,RAS,positive,Z17,,,,,
RAS_3,RAS,positive,Z17,,,,,
HER2HER3c,RAS_2,positive,Z17,positive,,,,
HER2HER3c_2,RAS_2,positive,Z17,,,,,
RAS,RAS_2,positive,Z17,,,,,
RAS_3,RAS_2,positive,Z17,,,,,
HER2HER3c_2,RAS_3,positive,Z17,,,,,
RAS,RAS_3,positive,Z17,,,,,
RAS_2,RAS_3,positive,Z17,,,,,
mTORC1,S6K,positive,Z17,positive ,direct,1,regulates,mTORC1 phosphorylates S6K
PDK1,SGK1,positive,Z17,,,,,
SGK1_T,SGK1,positive,Z17,,,,,
mTORC2,SGK1,positive,Z17,positive,direct,1,regulates,"mTORC2 directly phosphorylates the SGK1 hydrophobic-motif site Ser422, enabling subsequent activation by PDK1."
AKT,TSC2,negative,Z17,negative ,direct,1,,"AKT phosphorylates TSC2 (tuberin) at multiple sites, inhibiting the TSC1–TSC2 complex's GAP activity."
MAPK_2,TSC2,negative,Z17,,,,,
SGK1,TSC2,negative,Z17,,,,,
EIF4,Translation,positive,Z17,positive,direct in the network sense,,,eIF4F is part of the molecular machinery that executes cap-dependent translation initiation.
S6K,Translation,positive,Z17,positive,indirect,2,,causal effect mediated by EIF4
CDK46,CYCLINDc,positive,Z17,positive,,0,necessary,CDK4 or CDK6 (denoted CDK46) make up one component of the cyclin-CDK complex CYCLINDc
CYCLINDc_2,CYCLINDc,positive,Z17,positive,unsupported,,,This edge is an artifact of the Boolean representation of a multi-level variable.
CyclinD,CYCLINDc,positive,Z17,positive,,0,necessary,Cyclin D1 is one of two components of the cyclin-CDK complex CYCLINDc
CyclinD_2,CYCLINDc,positive,Z17,positive,,0,necessary,Cyclin D1 is one of two components of the cyclin-CDK complex CYCLINDc. We assign the same rank as that of the CyclinD1->CYCLIND_c edge.
CDK46,CYCLINDc_2,positive,Z17,positive,,0,necessary,CDK4 or CDK6 (denoted CDK46) make up one component of the cyclin-CDK complex CYCLINDc. We consider that the same confidence ranking applies as that of the CDK46->CYCLINDc edge.
CYCLINDc,CYCLINDc_2,positive,Z17,positive,,0,necessary,Reaching a higher level necessitates achieving the lower level first.
CyclinD_2,CYCLINDc_2,positive,Z17,positive,,0,necessary,Cyclin D1 is one of two components of the cyclin-CDK complex CYCLINDc. We assign the same rank as that of the CyclinD1->CYCLIND_c edge.
cycE_CDK2T,cycE_CDK2,positive,Z17,,,,,
p21_p27,cycE_CDK2,negative,Z17,negative,direct,1,regulates,"Both p21 and p27,  members of the CIP/KIP family, bind  Cyclin E–CDK2 complexes. This prevents phosphorylation of substrates required for S-phase entry and progression."
E2F,cycE_CDK2T,positive,Z17,,,,,
E2F_2,cycE_CDK2T,positive,Z17,,,,,
E2F_3,cycE_CDK2T,positive,Z17,,,,,
MYC,CyclinD,positive,Z17,positive,unsupported,,,"Contrary to this assumption, there is evidence that MYC can bind to  the Cyclin D1 promoter and repress CCND1 transcription."
CyclinD_2,CyclinD,positive,Z17,positive,unsupported,,,This edge is an artifact of the Boolean representation of a multi-level variable.
MYC_2,CyclinD_2,positive,Z17,positive,unsupported,,,"Contrary to this assumption, there is evidence that MYC can bind to  the Cyclin D1 promoter and repress CCND1 transcription."
CyclinD,CyclinD_2,positive,Z17,positive,,0,necessary,Reaching a higher level necessitates achieving the lower level first.
Everolimus,mTORC1,negative,Z17,negative ,direct in the network sense,1,regulates,"Everolimus binds the intracellular protein FKBP12; the everolimus–FKBP12 complex then binds the FRB domain of mTOR within mTORC1, inhibiting mTORC1 signaling. FKBP12 is not in the network."
PRAS40,mTORC1,negative,Z17,,,,,
TSC2,mTORC1,negative,Z17,negative ,indirect,2,,causal effect mediated by RHEB
Everolimus,mTORC2,negative,Z17,negative ,indirect,2,,Everolimus does not target mTORC2. Prolonged exposure to everolimus can indirectly inhibit mTORC2 because drug-bound mTOR becomes unavailable for assembly of new mTORC2 complexes.
mTORC2,mTORC2,positive,Z17,,,,,
Everolimus,mTORC2_pm,negative,Z17,negative ,indirect,2,,"Prolonged exposure to rapalogs can deplete mTORC2, and thus also mTORC2_pm, because drug-bound mTOR becomes unavailable for assembly of new mTORC2 complexes."
PIP3,mTORC2_pm,positive,Z17,,,,,
PIP3_2,mTORC2_pm,positive,Z17,,,,,
AKT,p21_p27,negative,Z17,negative,direct,1,regulates,The p21_p27 node unites p21 and p27. AKT phosphorylates and inhibits both p21 and p27. This inhibition can be interpreted as a direct inhibition of the p21_p27 node.
PIM,p21_p27,negative,Z17,negative,,?,,The p21_p27 node refers both to p21 and p27. PIM kinases suppress p27 through phosphorylation that promotes its cytoplasmic localization and/or degradation.
p21_p27_T,p21_p27,positive,Z17,positive,direct,1,regulates,"The p21_p27 node unites the p21 and p27 proteins. The p21_p27_T node unites the transcripts of p21 and p27. Thus, this edge represents translation."
FOXO3,p21_p27_T,positive,Z17,positive,direct,1,regulates,"FOXO3 binds both the CDKN1A (p21) and CDKN1B (p27) promoter, and activates the transcription of both. "
MYC,p21_p27_T,negative,Z17,negative ,assumption,4,,The p21_p27_T node refers to the transcripts of p21 and p27. This assumption is consistent with the fact that MYC represses the transcription of CDKN1A (p21).
MYC_2,p21_p27_T,negative,Z17,positive ,assumption,4,,The p21_p27_T node refers to the transcripts of p21 and p27. This assumption is consistent with the fact that MYC represses the transcription of CDKN1A (p21).
CYCLINDc,pRB,positive,Z17,,,,,
CYCLINDc_2,pRB,positive,Z17,,,,,
cycE_CDK2,pRB,positive,Z17,,,,,
pRB_2,pRB,positive,Z17,,,,,
pRB_3,pRB,positive,Z17,,,,,
CYCLINDc,pRB_2,positive,Z17,,,,,
CYCLINDc_2,pRB_2,positive,Z17,,,,,
cycE_CDK2,pRB_2,positive,Z17,,,,,
pRB,pRB_2,positive,Z17,,,,,
pRB_3,pRB_2,positive,Z17,,,,,
CYCLINDc_2,pRB_3,positive,Z17,,,,,
cycE_CDK2,pRB_3,positive,Z17,,,,,
pRB,pRB_3,positive,Z17,,,,,
pRB_2,pRB_3,positive,Z17,,,,,
Ipatasertib,AKT,negative,Z21,negative ,direct,1,regulates,Ipatasertib is a small-molecule AKT inhibitor that directly binds the kinase domain of AKT1/2/3 and inhibits its catalytic activity
PDK1_pm,AKT,positive,Z21,positive,direct,1,regulates,membrane-associated PDK1 directly phosphorylates AKT
PIP3,AKT,positive,Z21,positive,direct,1,,"PIP3 directly binds the PH domain of AKT, recruiting AKT to the plasma membrane and inducing conformational changes that expose its activating phosphorylation sites"
PIP3_2,AKT,positive,Z21,positive,direct,1,,"PIP3 directly binds the PH domain of AKT, recruiting AKT to the plasma membrane and inducing conformational changes that expose its activating phosphorylation sites. We consider the confidence the same as that of the PIP3->AKT edge."
mTORC2_pm,AKT,positive,Z21,positive,direct,1,regulates,membrane-associated mTORC2 directly phosphorylates AKT
Apoptosis,Apoptosis,positive,Z21,positive,assumption,4,,This assumed self-regulation reflects the irreversible nature of the commitment to apoptosis.
BAD,Apoptosis,positive,Z21,positive,indirect,2,,"causal effect mediated by CYCS, CASP9, CASP3"
BIM,Apoptosis,positive,Z21,positive,indirect,2,,"causal effect mediated by BAK/BAX, CYCS, CASP9, CASP3"
Apoptosis_2,Apoptosis_2,positive,Z21,positive,assumption,4,,This assumed self-regulation reflects the irreversible nature of the commitment to apoptosis.
BCL2,Apoptosis_2,negative,Z21,negative,indirect,2,,"causal effect mediated by BAK/BAX, CYCS, CASP9, CASP3; we consider the same confidence ranking as that of BCL2->Apoptosis."
BCLXL,Apoptosis_2,negative,Z21,negative ,indirect,2,,"causal effect mediated by BAK/BAX, CYCS, CASP9, CASP3"
MCL1,Apoptosis_2,negative,Z21,negative ,indirect,2,,"causal effect mediated by BAK/BAX, CYCS, CASP9, CASP3. We consider that the confidence rank is the same as that of the MCL1->Apoptosis edge."
Apoptosis_3,Apoptosis_3,positive,Z21,positive,assumption,4,,This assumed self-regulation reflects the irreversible nature of the commitment to apoptosis.
BCL2,Apoptosis_3,negative,Z21,negative,indirect,2,,"causal effect mediated by BAK/BAX, CYCS, CASP9, CASP3; we consider the same confidence ranking as that of BCL2->Apoptosis."
BCLXL,Apoptosis_3,negative,Z21,negative ,indirect,2,,"causal effect mediated by BAK/BAX, CYCS, CASP9, CASP3"
BIM,Apoptosis_3,positive,Z21,positive,indirect,2,,"causal effect mediated by BAK/BAX, CYCS, CASP9, CASP3; we consider the same confidence ranking as that of BIM->Apoptosis."
MCL1,Apoptosis_3,negative,Z21,negative ,indirect,2,,"causal effect mediated by BAK/BAX, CYCS, CASP9, CASP3. We consider that the confidence rank is the same as that of the MCL1->Apoptosis edge."
AKT,BAD,negative,Z21,negative,direct,1,regulates,"AKT phosphorylates BAD, which leads to its sequestration by 14-3-3 proteins, making it unable to inhibit BCLXL"
MAPK_2,BAD,negative,Z21,,,,,
PIM,BAD,negative,Z21,negative,direct,1,,"PIM kinases phosphorylate BAD. This promotes BAD's sequestration by 14-3-3 proteins, suppressing BAD's pro-apoptotic function."
BCL2_T,BCL2,positive,Z21,positive,direct,1,necessary,protein translation
Navitoclax,BCL2,negative,Z21,,,,,
BCLXL_T,BCLXL,positive,Z21,positive,direct,1,necessary,protein translation
Navitoclax,BCLXL,negative,Z21,,,,,
BIM_T,BIM,positive,Z21,positive,direct,1,protein translation,
FOXO3,BIM,positive,Z21,positive,direct,,,FOXO3 binds conserved forkhead-response elements in the promoter of  BCL2L11 (the gene encoding BIM) and stimulates its transcription.
MAPK_2,BIM,negative,Z21,,,,,
Palbociclib,CDK46,negative,Z21,,,,,
E2F_2,E2F,positive,Z21,,,,,
pRB,E2F,positive,Z21,,,,,
E2F,E2F_2,positive,Z21,,,,,
pRB_2,E2F_2,positive,Z21,,,,,
mTORC1,EIF4,positive,Z21,,,,,
ER_transcription_2,ER_transcription,positive,Z21,,,,,
ESR1,ER_transcription,positive,Z21,,,,,
ESR1_2,ER_transcription,positive,Z21,,,,,
ER_transcription,ER_transcription_2,positive,Z21,,,,,
ESR1_2,ER_transcription_2,positive,Z21,,,,,
FOXA1,ER_transcription_2,positive,Z21,,,,,
KMT2D,ER_transcription_2,positive,Z21,,,,,
PBX1,ER_transcription_2,positive,Z21,,,,,
ER_transcription_2,ER_transcription_feedback_1,positive,Z21,,,,,
ER_transcription_feedback_1,ER_transcription_feedback_2,positive,Z21,,,,,
ER_transcription_feedback_2,ER_transcription_feedback_2,positive,Z21,,,,,
ER,ESR1,positive,Z21,,,,,
ESR1_2,ESR1,positive,Z21,,,,,
FOXO3,ESR1,positive,Z21,positive,direct,1,regulates,regulation of transcription. FOXO3a directly binds regulatory sites in the ESR1 (ERα) promoter and increases ESR1 transcription
Fulvestrant,ESR1,negative,Z21,negative,direct,1,regulates,Fulvestrant is a selective estrogen receptor degrader/downregulator (SERD). It directly binds ERα (ESR1 protein) with high affinity.
ER,ESR1_2,positive,Z21,,,,,
ES,ESR1_2,positive,Z21,positive,direct,1,regulates,
ER_transcription_feedback_2,ESR1_2,negative,Z21,,,,,
ESR1,ESR1_2,positive,Z21,positive,,0,necessary,reaching a higher level necessitates achieving the lower level first
FOXO3,ESR1_2,positive,Z21,positive,direct,1,regulates,regulation of transcription. FOXO3a directly binds regulatory sites in the ESR1 (ERα) promoter and increases ESR1 transcription. We assume the classification of the FOXO3->ESR1 edge applies to ESR1_2 as well.
Fulvestrant,ESR1_2,negative,Z21,negative,direct,1,regulates,Fulvestrant is a selective estrogen receptor degrader/downregulator (SERD). It directly binds ERα (ESR1 protein) with high affinity.
AKT,FOXO3,negative,Z21,negative,direct,1,regulates,"AKT phosphorylates FOXO1 at several regulatory residues. These promote binding to 14-3-3 proteins and retention in the cytoplasm, which decreases FOXO1 transcriptional activity"
FOXO3_Ub,FOXO3,negative,Z21,,,,,
PIM,FOXO3,negative,Z21,negative,direct,1,,PIM kinases phosphorylate FOXO3 (FOXO3a). This phosphorylation suppresses FOXO3 transcriptional activity by promoting its nuclear exclusion and association with 14-3-3 proteins.
SGK1,FOXO3,negative,Z21,,,,,
MAPK_2,FOXO3_Ub,positive,Z21,,,,,
HER2,HER2HER3c,positive,Z21,positive,,0,necessary,This edge represents HER2's participation in the HER2HER3c heterodimer complex.
HER2HER3c_2,HER2HER3c,positive,Z21,positive,unsupported,,,This edge is an artifact of the representation of multi-level variables
HER3,HER2HER3c,positive,Z21,,,,,
HER3_2,HER2HER3c,positive,Z21,,,,,
Neratinib,HER2HER3c,negative,Z21,negative,direct,1,regulates,Neratinib is an irreversible pan-HER tyrosine kinase inhibitor that covalently binds the kinase domains of HER2 and EGFR.
HER2,HER2HER3c_2,positive,Z21,positive,,0,necessary,HER2's participation in the HER2HER3c heterodimer complex; we consider that the confidence ranking applies to this edge as well.
HER2HER3c,HER2HER3c_2,positive,Z21,positive,,0,necessary,Reaching a higher level necessitates reaching the lower level first
HER3,HER2HER3c_2,positive,Z21,,,,,
HER3_2,HER2HER3c_2,positive,Z21,,,,,
NRG1,HER2HER3c_2,positive,Z21,positive,indirect,2,,"causal effect mediated by HER3, PI3K, ERK"
MAPK_2,HER2HER3c_2,negative,Z21,,,,,
Neratinib,HER2HER3c_2,negative,Z21,negative,direct,1,regulates,Neratinib is an irreversible pan-HER tyrosine kinase inhibitor that covalently binds the kinase domains of HER2 and EGFR.
FOXO3,HER3,positive,Z21,positive,direct,1,regulates,regulation of transcription. FOXO3 binds regulatory regions of ERBB3/HER3 and leads to increased HER3 transcription
HER3_2,HER3,positive,Z21,,,,,
HER3_T,HER3,positive,Z21,,,,,
FOXO3,HER3_2,positive,Z21,positive,direct,1,regulates,regulation of transcription. FOXO3 binds regulatory regions of ERBB3/HER3 and leads to increased HER3 transcription. We assume that the confidence ranking of this edge is the same as that of FOXO3->HER3.
HER3,HER3_2,positive,Z21,,,,,
FOXO3,IGF1R,positive,Z21,positive,indirect,2,,"There is causal evidence that activated FOXO3 increases IGF1R mRNA and protein expression, and FOXO knockdown decreases IGF1R expression. The exact mechanism is not known."
HER2,IGF1R,positive,Z21,positive,assumption,4,,This assumed edge is consistent with observed higher IGF1R signaling in trastuzumab-resistant cells
IGF1R_2,IGF1R,positive,Z21,,,,,
IGF1R_T,IGF1R,positive,Z21,,,,,
FOXO3,IGF1R_2,positive,Z21,positive,indirect,2,,"There is causal evidence that activated FOXO3 increases IGF1R mRNA and protein expression, and FOXO knockdown decreases IGF1R expression. The exact mechanism is not known."
